locus_tag,product_doerks,new_category,annot_method,Associations,Source,hyperlink to source page
Rv2325c,"ABC-type cobalt transport system, permease component CbiQ and related transporters ",A,Orthology,COG0619,eggnog.embl.de,COG0619
Rv0804,Predicted metal-dependent membrane protease ,F,Orthology,COG1266,eggnog.embl.de,COG1266
Rv2492,Thymidylate synthase ,H,Orthology,NOG71787,eggnog.embl.de,NOG71787
Rv1847,"Uncharacterized protein, possibly involved in aromatic compounds catabolism ",F,Orthology,COG2050,eggnog.embl.de,COG2050
Rv1532c,"Uncharacterized protein, possibly involved in aromatic compounds catabolism ",F,Orthology,COG2050,eggnog.embl.de,COG2050
Rv0674,Phenylacetic acid-responsive transcriptional repressor ,C,Orthology,COG3327,eggnog.embl.de,COG3327
Rv3733c,Predicted NTP pyrophosphohydrolase ,F,Orthology,COG4119,eggnog.embl.de,COG4119
Rv2712c,Heme binding protein ,C,Orthology,NOG46939,eggnog.embl.de,NOG46939
Rv3529c,Sulfotransferase ,F,Orthology,NOG42751,eggnog.embl.de,NOG42751
Rv1870c,Protein involved in DNA repair ,H,Orthology,NOG13550,eggnog.embl.de,NOG13550
Rv0034,Ketosteroid isomerase-related protein  ,F,Orthology,COG3631,eggnog.embl.de,COG3631
Rv0141c,Ketosteroid isomerase-related protein  ,F,Orthology,COG3631,eggnog.embl.de,COG3631
Rv0181c,Pirin-related protein ,C,Orthology,COG1741,eggnog.embl.de,COG1741
Rv0371c,Uncharacterized MobA-related protein ,F,Orthology,COG2068,eggnog.embl.de,COG2068
Rv0345,Uncharacterized MobA-related protein ,F,Orthology,COG2068,eggnog.embl.de,COG2068
Rv0281,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv0830,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv1889c,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv0726c,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv0893c,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv3787c,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv0146,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv3767c,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv0145,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv1896c,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv0731c,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv2751,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv3399,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv1888A,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv0725c,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv1729c,O-Methyltransferase involved in polyketide biosynthesis ,E,Orthology,COG3315,eggnog.embl.de,COG3315
Rv1065,Cysteine dioxygenase ,F,Orthology,NOG25778,eggnog.embl.de,NOG25778
Rv2837c,Exopolyphosphatase-related proteins ,F,Orthology,COG0618,eggnog.embl.de,COG0618
Rv0060,Predicted phosphatase homologous to the C-terminal domain of histone macroH2A1 ,F,Orthology,COG2110,eggnog.embl.de,COG2110
Rv0647c,Predicted unusual protein kinase ,F,Orthology,COG0661,eggnog.embl.de,COG0661
Rv1760,Acyltransferase ,F,Orthology,NOG45835,eggnog.embl.de,NOG45835
Rv1425,Acyltransferase ,F,Orthology,NOG45835,eggnog.embl.de,NOG45835
Rv1159A,Pterin-4a-carbinolamine dehydratase  ,F,Orthology,COG2154,eggnog.embl.de,COG2154
Rv3916c,N-Acetyltransferase ,F,Orthology,NOG07021,eggnog.embl.de,NOG07021
Rv3284,SufE protein probably involved in Fe-S center assembly ,F,Orthology,COG2166,eggnog.embl.de,COG2166
Rv0799c,Predicted iron-dependent peroxidase ,F,Orthology,COG2837,eggnog.embl.de,COG2837
Rv2165c,Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis ,A,Orthology,COG0275,eggnog.embl.de,COG0275
Rv0434,"Uncharacterized protein, similar to the N-terminal domain of Lon protease ",F,Orthology,COG2802,eggnog.embl.de,COG2802
Rv1504c,Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis ,A,Orthology,COG0399,eggnog.embl.de,COG0399
Rv1503c,Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis ,A,Orthology,COG0399,eggnog.embl.de,COG0399
Rv2880c,Predicted Fe-S-cluster redox enzyme ,F,Orthology,COG0820,eggnog.embl.de,COG0820
Rv2578c,DNA repair photolyase ,H,Orthology,COG1533,eggnog.embl.de,COG1533
Rv2406c,FOG- CBS domain ,C,Orthology,COG0517,eggnog.embl.de,COG0517
Rv2626c,FOG- CBS domain ,C,Orthology,COG0517,eggnog.embl.de,COG0517
Rv2683,FOG- CBS domain ,C,Orthology,COG0517,eggnog.embl.de,COG0517
Rv0998,Histone acetyltransferase HPA2 and related acetyltransferases ,H,Orthology,COG0454,eggnog.embl.de,COG0454
Rv2669,Histone acetyltransferase HPA2 and related acetyltransferases ,H,Orthology,COG0454,eggnog.embl.de,COG0454
Rv0919,Histone acetyltransferase HPA2 and related acetyltransferases ,H,Orthology,COG0454,eggnog.embl.de,COG0454
Rv0428c,Histone acetyltransferase HPA2 and related acetyltransferases ,H,Orthology,COG0454,eggnog.embl.de,COG0454
Rv2775,Histone acetyltransferase HPA2 and related acetyltransferases ,H,Orthology,COG0454,eggnog.embl.de,COG0454
Rv2898c,Predicted endonuclease distantly related to archaeal Holliday junction resolvase ,H,Orthology,COG0792,eggnog.embl.de,COG0792
Rv2413c,"DNA polymerase III, delta subunit ",H,Orthology,COG1466,eggnog.embl.de,COG1466
Rv0121c,Pyridoxamine 5-phosphate oxidase ,F,Orthology,NOG47579,eggnog.embl.de,NOG47579
Rv3015c,B12 independent protein ,C,Orthology,NOG05970,eggnog.embl.de,NOG05970
Rv1321,Predicted nuclease of the RecB family ,H,Orthology,COG1637,eggnog.embl.de,COG1637
Rv0365c,Predicted glycosyl hydrolase ,F,Orthology,COG4833,eggnog.embl.de,COG4833
Rv0825c,Transcriptional regulator ,C,Orthology,COG1309,eggnog.embl.de,COG1309
Rv0330c,Transcriptional regulator ,C,Orthology,COG1309,eggnog.embl.de,COG1309
Rv1685c,Transcriptional regulator ,C,Orthology,COG1309,eggnog.embl.de,COG1309
Rv0767c,Transcriptional regulator ,C,Orthology,COG1309,eggnog.embl.de,COG1309
Rv0466,Acyl-ACP thioesterase ,F,Orthology,COG3884,eggnog.embl.de,COG3884
Rv2001,Acyl-ACP thioesterase ,F,Orthology,COG3884,eggnog.embl.de,COG3884
Rv0785,Predicted oxidoreductase ,F,Orthology,COG3573,eggnog.embl.de,COG3573
Rv1506c,Methyltransferase ,F,Orthology,NOG71304,eggnog.embl.de,NOG71304
Rv1509,Methyltransferase ,F,Orthology,NOG71304,eggnog.embl.de,NOG71304
Rv1480,Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain) ,C,Orthology,COG1721,eggnog.embl.de,COG1721
Rv2205c,Glycerate kinase ,F,Orthology,COG1929,eggnog.embl.de,COG1929
Rv2821c,Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily) ,H,Orthology,COG1337,eggnog.embl.de,COG1337
Rv2059,"ABC-type metal ion transport system, periplasmic component/surface adhesin ",A,Orthology,COG0803,eggnog.embl.de,COG0803
Rv1276c,Phosphohistidine phosphatase SixA ,F,Orthology,COG2062,eggnog.embl.de,COG2062
Rv0811c,Predicted aminomethyltransferase related to GcvT ,F,Orthology,COG0354,eggnog.embl.de,COG0354
Rv3027c,Putative hemolysin ,F,Orthology,COG3176,eggnog.embl.de,COG3176
Rv2226,Protein involved in cAMP biosynthetic process ,F,Orthology,NOG73626,eggnog.embl.de,NOG73626
Rv2119,RecB family exonuclease ,H,Orthology,COG2887,eggnog.embl.de,COG2887
Rv0502,1-acyl-sn-glycerol-3-phosphate acyltransferase ,F,Orthology,COG0204,eggnog.embl.de,COG0204
Rv2182c,1-acyl-sn-glycerol-3-phosphate acyltransferase ,F,Orthology,COG0204,eggnog.embl.de,COG0204
Rv3026c,1-acyl-sn-glycerol-3-phosphate acyltransferase ,F,Orthology,COG0204,eggnog.embl.de,COG0204
Rv1428c,1-acyl-sn-glycerol-3-phosphate acyltransferase ,F,Orthology,COG0204,eggnog.embl.de,COG0204
Rv0801,Glyoxalase ,F,Orthology,NOG43037,eggnog.embl.de,NOG43037
Rv1597,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv3038c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv3832c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv0329c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv3037c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv0326,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv0839,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv0325,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv1515c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv2675c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv2954c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv2956,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv3120,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv3699,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv2955c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv2003c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv2423,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv3030,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv2067c,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv1978,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv1147,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv1513,SAM-dependent methyltransferases ,F,Orthology,COG0500,eggnog.embl.de,COG0500
Rv1301,Putative translation factor (SUA5) ,H,Orthology,COG0009,eggnog.embl.de,COG0009
Rv1540,"Pseudouridylate synthases, 23S RNA-specific ",H,Orthology,COG0564,eggnog.embl.de,COG0564
Rv3300c,"Pseudouridylate synthases, 23S RNA-specific ",H,Orthology,COG0564,eggnog.embl.de,COG0564
Rv1875,Pyridoxamine protein ,F,Orthology,NOG43687,eggnog.embl.de,NOG43687
Rv3040c,NTP pyrophosphohydrolases including oxidative damage repair enzymes ,H,Orthology,COG0494,eggnog.embl.de,COG0494
Rv3672c,NTP pyrophosphohydrolases including oxidative damage repair enzymes ,H,Orthology,COG0494,eggnog.embl.de,COG0494
Rv3168,Predicted aminoglycoside phosphotransferase ,F,Orthology,COG3173,eggnog.embl.de,COG3173
Rv0854,Cyclase/Dehydrase ,F,Orthology,NOG138101,eggnog.embl.de,NOG138101
Rv1897c,D-Tyr-tRNAtyr deacylase ,H,Orthology,COG1490,eggnog.embl.de,COG1490
Rv3075c,Citrate lyase beta subunit ,F,Orthology,COG2301,eggnog.embl.de,COG2301
Rv2140c,Phospholipid-binding protein ,F,Orthology,COG1881,eggnog.embl.de,COG1881
Rv2510c,Predicted ATPase ,F,Orthology,COG0433,eggnog.embl.de,COG0433
Rv2232,Predicted phosphatases ,F,Orthology,COG0546,eggnog.embl.de,COG0546
Rv2367c,Predicted metal-dependent hydrolase ,F,Orthology,COG0319,eggnog.embl.de,COG0319
Rv3722c,Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs ,C,Orthology,COG1167,eggnog.embl.de,COG1167
Rv1930c,Putative intracellular protease/amidase ,F,Orthology,COG0693,eggnog.embl.de,COG0693
Rv0052,Putative intracellular protease/amidase ,F,Orthology,COG0693,eggnog.embl.de,COG0693
Rv1725c,Predicted transcriptional regulators ,C,Orthology,COG1733,eggnog.embl.de,COG1733
Rv0508,Thiol-disulfide isomerase and thioredoxins ,F,Orthology,COG0526,eggnog.embl.de,COG0526
Rv1732c,Thiol-disulfide isomerase and thioredoxins ,F,Orthology,COG0526,eggnog.embl.de,COG0526
Rv3035,FOG- WD40-like repeat ,C,Orthology,COG1520,eggnog.embl.de,COG1520
Rv0268c,Antitoxin of toxin-antitoxin stability system ,B,Orthology,COG2161,eggnog.embl.de,COG2161
Rv2052c,Predicted metal-dependent hydrolase with the TIM-barrel fold ,F,Orthology,COG1574,eggnog.embl.de,COG1574
Rv0552,Predicted metal-dependent hydrolase with the TIM-barrel fold ,F,Orthology,COG1574,eggnog.embl.de,COG1574
Rv1913,"Zn-dependent hydrolases, including glyoxylases ",F,Orthology,COG0491,eggnog.embl.de,COG0491
Rv2300c,"Zn-dependent hydrolases, including glyoxylases ",F,Orthology,COG0491,eggnog.embl.de,COG0491
Rv0406c,"Zn-dependent hydrolases, including glyoxylases ",F,Orthology,COG0491,eggnog.embl.de,COG0491
Rv2260,"Zn-dependent hydrolases, including glyoxylases ",F,Orthology,COG0491,eggnog.embl.de,COG0491
Rv1637c,"Zn-dependent hydrolases, including glyoxylases ",F,Orthology,COG0491,eggnog.embl.de,COG0491
Rv3856c,Histidinol phosphatase and related hydrolases of the PHP family ,F,Orthology,COG1387,eggnog.embl.de,COG1387
Rv0164,Cyclase/Dehydrase ,F,Orthology,NOG11610,eggnog.embl.de,NOG11610
Rv2170,Acetyltransferases ,F,Orthology,COG0456,eggnog.embl.de,COG0456
Rv2734,Bacteriophage protein gp37 ,G,Orthology,COG4422,eggnog.embl.de,COG4422
Rv1044,Predicted transcriptional regulator ,C,Orthology,COG5340,eggnog.embl.de,COG5340
Rv3180c,"Predicted nucleic acid-binding protein, contains PIN domain ",C,Orthology,COG1848,eggnog.embl.de,COG1848
Rv1769,Predicted amino acid aldolase or racemase ,F,Orthology,COG3616,eggnog.embl.de,COG3616
Rv1413,Predicted amino acid aldolase or racemase ,F,Orthology,COG3616,eggnog.embl.de,COG3616
Rv1414,Predicted amino acid aldolase or racemase ,F,Orthology,COG3616,eggnog.embl.de,COG3616
Rv1770,Predicted aminopeptidases ,F,Orthology,COG2234,eggnog.embl.de,COG2234
Rv2716,"Predicted epimerase, PhzC/PhzF homolog ",F,Orthology,COG0384,eggnog.embl.de,COG0384
Rv1676,Antioxidant protein ,B,Orthology,NOG77544,eggnog.embl.de,NOG77544
Rv3521,Predicted nucleic-acid-binding protein containing a Zn-ribbon ,C,Orthology,COG1545,eggnog.embl.de,COG1545
Rv1628c,Predicted nucleic-acid-binding protein containing a Zn-ribbon ,C,Orthology,COG1545,eggnog.embl.de,COG1545
Rv3542c,Predicted nucleic-acid-binding protein containing a Zn-ribbon ,C,Orthology,COG1545,eggnog.embl.de,COG1545
Rv0372c,"Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family ",F,Orthology,COG1975,eggnog.embl.de,COG1975
Rv0376c,"Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family ",F,Orthology,COG1975,eggnog.embl.de,COG1975
Rv3207c,Metallopeptidase ,F,Orthology,NOG05187,eggnog.embl.de,NOG05187
Rv0597c,Predicted ATPase (AAA+ superfamily) ,F,Orthology,COG1373,eggnog.embl.de,COG1373
Rv2008c,Predicted ATPase (AAA+ superfamily) ,F,Orthology,COG1373,eggnog.embl.de,COG1373
Rv3294c,Predicted ATPase (AAA+ superfamily) ,F,Orthology,COG1373,eggnog.embl.de,COG1373
Rv3179,Predicted ATPase (AAA+ superfamily) ,F,Orthology,COG1373,eggnog.embl.de,COG1373
Rv2024c,Predicted helicase ,H,Orthology,COG4889,eggnog.embl.de,COG4889
Rv2926c,"Predicted metal-binding, possibly nucleic acid-binding protein ",C,Orthology,COG1399,eggnog.embl.de,COG1399
Rv2491,Predicted Rossmann fold nucleotide-binding protein ,C,Orthology,COG1611,eggnog.embl.de,COG1611
Rv1205,Predicted Rossmann fold nucleotide-binding protein ,C,Orthology,COG1611,eggnog.embl.de,COG1611
Rv2365c,Protein involved in pyrimidine metabolism  ,F,Orthology,NOG09497,eggnog.embl.de,NOG09497
Rv2670c,Predicted ATPase ,F,Orthology,COG1485,eggnog.embl.de,COG1485
Rv0047c,Predicted transcriptional regulators ,C,Orthology,COG1695,eggnog.embl.de,COG1695
Rv3488,Predicted transcriptional regulators ,C,Orthology,COG1695,eggnog.embl.de,COG1695
Rv1176c,Predicted transcriptional regulators ,C,Orthology,COG1695,eggnog.embl.de,COG1695
Rv2816c,Uncharacterized protein predicted to be involved in DNA repair ,H,Orthology,COG1343,eggnog.embl.de,COG1343
Rv2420c,Uncharacterized homolog of plant Iojap protein  ,C,Orthology,COG0799,eggnog.embl.de,COG0799
Rv0104,cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases ,C,Orthology,COG0664,eggnog.embl.de,COG0664
Rv1341,Xanthosine triphosphate pyrophosphatase ,F,Orthology,COG0127,eggnog.embl.de,COG0127
Rv0749A,Protein involved in DNA integration ,G,Orthology,NOG06353,eggnog.embl.de,NOG06353
Rv2807,Protein involved in DNA integration ,G,Orthology,NOG06353,eggnog.embl.de,NOG06353
Rv2426c,MoxR-like ATPases ,F,Orthology,COG0714,eggnog.embl.de,COG0714
Rv3242c,Predicted amidophosphoribosyltransferases ,F,Orthology,COG1040,eggnog.embl.de,COG1040
Rv1680,"ABC-type phosphate/phosphonate transport system, periplasmic component ",A,Orthology,COG3221,eggnog.embl.de,COG3221
Rv0500A,DNA binding protein ,C,Orthology,NOG07380,eggnog.embl.de,NOG07380
Rv0678,Transcriptional regulator protein ,C,Orthology,NOG39523,eggnog.embl.de,NOG39523
Rv3813c,Predicted hydrolases of the HAD superfamily ,F,Orthology,COG0561,eggnog.embl.de,COG0561
Rv2777c,Predicted metal-dependent hydrolase ,F,Orthology,COG3687,eggnog.embl.de,COG3687
Rv3786c,Membrane proteins related to metalloendopeptidases ,F,Orthology,COG0739,eggnog.embl.de,COG0739
Rv0950c,Membrane proteins related to metalloendopeptidases ,F,Orthology,COG0739,eggnog.embl.de,COG0739
Rv2891,Membrane proteins related to metalloendopeptidases ,F,Orthology,COG0739,eggnog.embl.de,COG0739
Rv2915c,Imidazolonepropionase and related amidohydrolases ,F,Orthology,COG1228,eggnog.embl.de,COG1228
Rv0074,Imidazolonepropionase and related amidohydrolases ,F,Orthology,COG1228,eggnog.embl.de,COG1228
Rv2823c,Predicted hydrolase of the HD superfamily (permuted catalytic motifs) ,F,Orthology,COG1353,eggnog.embl.de,COG1353
Rv0760c,Nuclear transport factor 2 ,C,Orthology,NOG83662,eggnog.embl.de,NOG83662
Rv1225c,Predicted sugar phosphatases of the HAD superfamily ,F,Orthology,COG0647,eggnog.embl.de,COG0647
Rv2854,Lysophospholipase ,E,Orthology,COG2267,eggnog.embl.de,COG2267
Rv3054c,Predicted flavoprotein ,F,Orthology,COG0431,eggnog.embl.de,COG0431
Rv2307c,Hydrolases of the alpha/beta superfamily ,F,Orthology,COG1073,eggnog.embl.de,COG1073
Rv1156,Base excision DNA repair protein ,H,Orthology,NOG11845,eggnog.embl.de,NOG11845
Rv1716,Predicted metal-dependent hydrolase ,F,Orthology,COG1878,eggnog.embl.de,COG1878
Rv3860,ATPases involved in chromosome partitioning ,A,Orthology,COG0455,eggnog.embl.de,COG0455
Rv0530,ATPases involved in chromosome partitioning ,A,Orthology,COG0455,eggnog.embl.de,COG0455
Rv2787,ATPases involved in chromosome partitioning ,A,Orthology,COG0455,eggnog.embl.de,COG0455
Rv1268c,Cysteine-Type endopeptidase ,F,Orthology,NOG41799,eggnog.embl.de,NOG41799
Rv3181c,Antitoxin of toxin-antitoxin stability system ,B,Orthology,COG4118,eggnog.embl.de,COG4118
Rv3592,Uncharacterized enzyme involved in biosynthesis of extracellular polysaccharides ,A,Orthology,COG2329,eggnog.embl.de,COG2329
Rv3362c,Predicted GTPase ,F,Orthology,COG2229,eggnog.embl.de,COG2229
Rv0269c,Predicted eukaryotic-type DNA primase ,H,Orthology,COG3285,eggnog.embl.de,COG3285
Rv3730c,Predicted eukaryotic-type DNA primase ,H,Orthology,COG3285,eggnog.embl.de,COG3285
Rv3369,FMN binding protein ,F,Orthology,NOG81456,eggnog.embl.de,NOG81456
Rv3519,Carboxy-Lyase ,F,Orthology,NOG45062,eggnog.embl.de,NOG45062
Rv3234c,Acyltransferase ,F,Orthology,NOG09285,eggnog.embl.de,NOG09285
Rv3233c,Acyltransferase ,F,Orthology,NOG09285,eggnog.embl.de,NOG09285
Rv0221,Acyltransferase ,F,Orthology,NOG09285,eggnog.embl.de,NOG09285
Rv0449c,Predicted NAD/FAD-binding protein ,F,Orthology,COG2907,eggnog.embl.de,COG2907
Rv0496,Exopolyphosphatase ,A,Orthology,COG0248,eggnog.embl.de,COG0248
Rv2733c,2-methylthioadenine synthetase ,F,Orthology,COG0621,eggnog.embl.de,COG0621
Rv2267c,Sulfotransferase ,F,Orthology,NOG43921,eggnog.embl.de,NOG43921
Rv1421,Predicted P-loop-containing kinase ,F,Orthology,COG1660,eggnog.embl.de,COG1660
Rv2689c,SAM-dependent methyltransferases related to tRNA (uracil-5-)-methyltransferase ,F,Orthology,COG2265,eggnog.embl.de,COG2265
Rv0546c,Lactoylglutathione lyase and related lyases ,F,Orthology,COG0346,eggnog.embl.de,COG0346
Rv2641,Lactoylglutathione lyase and related lyases ,F,Orthology,COG0346,eggnog.embl.de,COG0346
Rv1322A,Lactoylglutathione lyase and related lyases ,F,Orthology,COG0346,eggnog.embl.de,COG0346
Rv0274,Lactoylglutathione lyase and related lyases ,F,Orthology,COG0346,eggnog.embl.de,COG0346
Rv1638A,"Phage shock protein A (IM30), suppresses sigma54-dependent transcription ",G,Orthology,COG1842,eggnog.embl.de,COG1842
Rv2744c,"Phage shock protein A (IM30), suppresses sigma54-dependent transcription ",G,Orthology,COG1842,eggnog.embl.de,COG1842
Rv1835c,Predicted acyl esterases ,F,Orthology,COG2936,eggnog.embl.de,COG2936
Rv1215c,Predicted acyl esterases ,F,Orthology,COG2936,eggnog.embl.de,COG2936
Rv1357c,FOG- EAL domain ,C,Orthology,COG2200,eggnog.embl.de,COG2200
Rv2717c,UPF0678 fatty acid-binding protein-like protein ,E,Orthology,NOG83928,eggnog.embl.de,NOG83928
Rv3920c,Predicted RNA-binding protein ,C,Orthology,COG1847,eggnog.embl.de,COG1847
Rv1043c,"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain ",F,Orthology,COG0265,eggnog.embl.de,COG0265
Rv0813c,UPF0678 fatty acid-binding protein-like protein ,E,Orthology,NOG05976,eggnog.embl.de,NOG05976
Rv2820c,Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily) ,H,Orthology,COG1567,eggnog.embl.de,COG1567
Rv3364c,Uncharacterized distant relative of homeotic protein bithoraxoid ,A,Orthology,COG2018,eggnog.embl.de,COG2018
Rv1290c,Predicted membrane protein ,A,Orthology,COG4325,eggnog.embl.de,COG4325
Rv1069c,Predicted membrane protein ,A,Orthology,COG4425,eggnog.embl.de,COG4425
Rv1697,Predicted membrane protein      ,A,Orthology,COG4825,eggnog.embl.de,COG4825
Rv3008,Uncharacterized membrane protein ,A,Orthology,COG1285,eggnog.embl.de,COG1285
Rv3486,Predicted membrane protein ,A,Orthology,COG2259 ,eggnog.embl.de,COG2259 
Rv3005c,Predicted membrane protein ,A,Orthology,COG2259 ,eggnog.embl.de,COG2259 
Rv2230c,DNA-associated processes,C,fusion and operon,COG0327,string.embl.de,COG0327
Rv2567, proteasome,F,fusion and operon,COG2307,string.embl.de,COG2307
Rv2410c, proteasome,F,fusion and operon,COG2307,string.embl.de,COG2307
Rv2411c,proteasome,F,fusion and operon,COG2308,string.embl.de,COG2308
Rv3195,secretion,A,operon,COG5282,string.embl.de,COG5282
Rv0918, link to N-acetyltransferase activity,F,operon,COG4453,string.embl.de,COG4453
Rv2842c, transcription/translation ,C,operon,COG0779,string.embl.de,COG0779
Rv2149c,cell division,A,operon,COG1496,string.embl.de,COG1496
Rv2147c,cell division,A,operon,COG1799,string.embl.de,COG1799
Rv3071,membrane associated process,A,operon,COG1993,string.embl.de,COG1993
Rv3678A, translation initiation ,H,operon,NOG08630,string.embl.de,NOG08630
Rv2166c,cell division,A,operon,COG2001,string.embl.de,COG2001
Rv2680,DNA/RNA-associated process ,C,operon,NOG05519,string.embl.de,NOG05519
Rv3716c, DNA-repair ,H,operon,COG0718,string.embl.de,COG0718
Rv1507c,cell wall biosynthesis ,A,operon,NOG14456,string.embl.de,NOG14456
Rv1278,DNA-repair ,H,operon,NOG47502,string.embl.de,NOG47502
Rv3031, linked to sugar transferase activity,F,operon,COG1543,string.embl.de,COG1543
Rv0540,cell wall biogenesis,A,operon,COG3222,string.embl.de,COG3222
Rv2102, related to DNA/RNA-associated processes    ,C,operon,COG4279,string.embl.de,COG4279
Rv0049,membrane associated process ,A,operon,NOG07408,string.embl.de,NOG07408
Rv2696c,nucleotide metabolism ,C,operon,NOG06579,string.embl.de,NOG06579
Rv3603c,folic acid-containing compound biosynthetic process,F,operon,COG5495,string.embl.de,COG5495
Rv0459, related to oxidoreductase activity,F,operon,COG3564,string.embl.de,COG3564
Rv0991c,biosynthetic process ,F,operon,COG2331,string.embl.de,COG2331
Rv2239c,cell redox homeostasis ,F,operon,NOG06580,string.embl.de,NOG06580
Rv2676c, porphyrin biosynthetic process  ,C,operon,COG3253,string.embl.de,COG3253
Rv1718, lipid metabolism   ,E,operon,COG3246,string.embl.de,COG3246
Rv3701c,related to cytosine deaminase activity ,F,operon,COG4301,string.embl.de,COG4301
Rv3268,regulated by transcription,C,operon,NOG08644,string.embl.de,NOG08644
Rv1422,coenzyme biosynthetic process  ,F,operon,COG0391,string.embl.de,COG0391
Rv3541c, DNA/RNA-associated process ,C,operon,NOG41754,string.embl.de,NOG41754
Rv2822c,DNA-repair,H,operon,NOG77201,string.embl.de,NOG77201
Rv2818c,DNA-repair,H,operon,NOG75450,string.embl.de,NOG75450
Rv2824c,DNA-repair,H,operon,COG5551,string.embl.de,COG5551
Rv1486c,membrane associated process ,A,operon,NOG09974,string.embl.de,NOG09974
Rv3647c,DNA-associated process ,C,operon,NOG10044,string.embl.de,NOG10044
Rv1376,cell wall processes  ,A,operon,COG3482,string.embl.de,COG3482
Rv0990c,transport ,A,operon,NOG15380,string.embl.de,NOG15380
Rv3626c, proteolysis/nucleotide biosynthesis   ,F,operon,COG5282,string.embl.de,COG5282
Rv0059,DNA-associated process ,C,operon,NOG44032,string.embl.de,NOG44032
