"Entry","Entry name","Status","Gene names","product","Length","Keywords","Protein families","Cross-reference (KEGG)",,,,,,,,,,
"P9WGN3","SECY_MYCTU","reviewed","secY Rv0732 MTV041.06","Protein translocase subunit SecY",441,"Cell membrane;Complete proteome;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport","SecY/SEC61-alpha family","mtu:Rv0732;",,,,,,,,,,
"P9WQ73","SERC_MYCTU","reviewed","serC Rv0884c MTCY31.12c","Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)",376,"3D-structure;Acetylation;Amino-acid biosynthesis;Aminotransferase;Complete proteome;Cytoplasm;Pyridoxal phosphate;Pyridoxine biosynthesis;Reference proteome;Serine biosynthesis;Transferase","Class-V pyridoxal-phosphate-dependent aminotransferase family"," SerC subfamily","mtu:Rv0884c;",,,,,,,,,
"P9WG97","TATC_MYCTU","reviewed","tatC Rv2093c MTCY49.33c","Sec-independent protein translocase protein TatC",308,"Cell membrane;Complete proteome;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport","TatC family","mtu:Rv2093c;mtv:RVBD_2093c;",,,,,,,,,,
"P9WKQ1","SMASE_MYCTU","reviewed","spmT Rv0888 MTCY31.16","Sphingomyelinase (SMase) (EC 3.1.4.12)",490,"Cell outer membrane;Complete proteome;Cytolysis;Hemolysis;Hydrolase;Ion transport;Lipid degradation;Lipid metabolism;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport","SpmT family","mtu:Rv0888;",,,,,,,,,,
"P9WIB9","SCMU_MYCTU","reviewed","Rv1885c","Secreted chorismate mutase (*MtCM) (CM) (EC 5.4.99.5)",199,"3D-structure;Complete proteome;Disulfide bond;Isomerase;Reference proteome;Secreted;Signal",,"mtu:Rv1885c;",,,,,,,,,,
"P9WGN7","SECE_MYCTU","reviewed","secE Rv0638 MTCY20H10.19","Protein translocase subunit SecE",161,"Cell membrane;Complete proteome;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport","SecE/SEC61-gamma family","mtu:Rv0638;",,,,,,,,,,
"P9WPW3","SCOB_MYCTU","reviewed","scoB Rv2503c MTCY07A7.09c","Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit B (EC 2.8.3.5) (OXCT B) (Succinyl-CoA:3-oxoacid CoA-transferase)",218,"Complete proteome;Reference proteome;Transferase","3-oxoacid CoA-transferase subunit B family","mtu:Rv2503c;",,,,,,,,,,
"O53368","SDHC_MYCTU","reviewed","sdhC Rv3316 RVBD_3316 LH57_18125 P425_03457","Succinate dehydrogenase 2 membrane subunit SdhC",144,"Cell membrane;Complete proteome;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport;Tricarboxylic acid cycle","Cytochrome b560 family","mtu:Rv3316;mtv:RVBD_3316;",,,,,,,,,,
"P95257","SECBL_MYCTU","reviewed","secBL Rv1957","SecB-like chaperone Rv1957",181,"3D-structure;Acetylation;Chaperone;Complete proteome;Reference proteome","SecB-like family","mtu:Rv1957;",,,,,,,,,,
"P9WGK5","SENX3_MYCTU","reviewed","senX3 Rv0490 MTCY20G9.16","Sensor-like histidine kinase senX3 (EC 2.7.13.3)",410,"ATP-binding;Cell membrane;Complete proteome;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system",,"mtu:Rv0490;mtv:RVBD_0490;",,,,,,,,,,
"P9WGP9","SADH_MYCTU","reviewed","sadH Rv3085","Putative oxidoreductase SadH (EC 1.-.-.-)",276,"Complete proteome;Oxidoreductase;Reference proteome","Short-chain dehydrogenases/reductases (SDR) family","mtu:Rv3085;",,,,,,,,,,
"P9WGT5","SDHL_MYCTU","reviewed","sdaA Rv0069c MTV030.12c","L-serine dehydratase (SDH) (EC 4.3.1.17) (L-serine deaminase) (L-SD)",461,"4Fe-4S;Complete proteome;Gluconeogenesis;Iron;Iron-sulfur;Lyase;Metal-binding;Reference proteome","Iron-sulfur dependent L-serine dehydratase family","mtu:Rv0069c;",,,,,,,,,,
"P9WPW5","SCOA_MYCTU","reviewed","scoA Rv2504c MTCY07A7.10c","Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit A (EC 2.8.3.5) (Succinyl-CoA:3-oxoacid CoA-transferase) (OXCT A)",248,"Complete proteome;Reference proteome;Transferase","3-oxoacid CoA-transferase subunit A family","mtu:Rv2504c;",,,,,,,,,,
"P9WGP1","SECD_MYCTU","reviewed","secD Rv2587c MTCY227.14","Protein translocase subunit SecD",573,"Cell membrane;Complete proteome;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport","SecD/SecF family"," SecD subfamily","mtu:Rv2587c;",,,,,,,,,
"P9WH27","RS8_MYCTU","reviewed","rpsH Rv0718 MTCY210.37","30S ribosomal protein S8",132,"Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Universal ribosomal protein uS8 family","mtu:Rv0718;",,,,,,,,,,
"P9WJ71","RSDA_MYCTU","reviewed","rsdA Rv3413c MTCY78.16","Anti-sigma-D factor RsdA (Regulator of SigD) (Sigma-D anti-sigma factor RsdA)",299,"3D-structure;Cell membrane;Complete proteome;Membrane;Reference proteome;Transcription;Transcription regulation;Transmembrane;Transmembrane helix",,"mtu:Rv3413c;",,,,,,,,,,
"P9WHG9","RELA_MYCTU","reviewed","relA Rv2583c MTCY227.18","Bifunctional (p)ppGpp synthase/hydrolase RelA [Includes: GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (Stringent response-like protein) (ppGpp synthase II); Guanosine-3'","5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)]",738,"3D-structure;ATP-binding;Complete proteome;Direct protein sequencing;GTP-binding;Hydrolase;Kinase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Reference proteome;Transferase","RelA/SpoT family","mtu:Rv2583c;",,,,,,,,,
"P9WH49","RS181_MYCTU","reviewed","rpsR1 rpsR Rv0055 MTCY21D4.18","30S ribosomal protein S18 1",84,"Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Bacterial ribosomal protein bS18 family","mtu:Rv0055;",,,,,,,,,,
"P9WH47","RS182_MYCTU","reviewed","rpsR2 Rv2055c MTCY63A.05","30S ribosomal protein S18 2",88,"Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Bacterial ribosomal protein bS18 family","mtu:Rv2055c;",,,,,,,,,,
"P9WHC7","RL1_MYCTU","reviewed","rplA Rv0641 MTCY20H10.22","50S ribosomal protein L1",235,"Complete proteome;RNA-binding;Reference proteome;Repressor;Ribonucleoprotein;Ribosomal protein;Translation regulation;rRNA-binding;tRNA-binding","Universal ribosomal protein uL1 family","mtu:Rv0641;",,,,,,,,,,
"P9WHC5","RL20_MYCTU","reviewed","rplT Rv1643 MTCY06H11.07","50S ribosomal protein L20",129,"3D-structure;Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Bacterial ribosomal protein bL20 family","mtu:Rv1643;",,,,,,,,,,
"P9WH65","RS11_MYCTU","reviewed","rpsK Rv3459c MTCY13E12.12c","30S ribosomal protein S11",139,"Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Universal ribosomal protein uS11 family","mtu:Rv3459c;",,,,,,,,,,
"P9WHC3","RL21_MYCTU","reviewed","rplU Rv2442c MTCY428.04","50S ribosomal protein L21",103,"3D-structure;Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Bacterial ribosomal protein bL21 family","mtu:Rv2442c;",,,,,,,,,,
"P9WH63","RS12_MYCTU","reviewed","rpsL rps12 Rv0682 MTV040.10","30S ribosomal protein S12",124,"Antibiotic resistance;Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding;tRNA-binding","Universal ribosomal protein uS12 family","mtu:Rv0682;",,,,,,,,,,
"P9WHC1","RL22_MYCTU","reviewed","rplV Rv0706 MTCY210.25","50S ribosomal protein L22",197,"3D-structure;Acetylation;Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Universal ribosomal protein uL22 family","mtu:Rv0706;",,,,,,,,,,
"P9WGZ5","RNZ_MYCTU","reviewed","rnz Rv2407 MTCY253.13c","Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)",273,"Complete proteome;Endonuclease;Hydrolase;Metal-binding;Nuclease;Reference proteome;Zinc;tRNA processing","RNase Z family","mtu:Rv2407;",,,,,,,,,,
"P9WIM5","RNMT_MYCTU","reviewed","Rv2959c","Rhamnosyl O-methyltransferase (EC 2.1.1.-)",245,"Complete proteome;Lipid biosynthesis;Lipid metabolism;Methyltransferase;Reference proteome;Signal;Transferase","Rhamnosyl O-methyltransferase family","mtu:Rv2959c;mtv:RVBD_2959c;",,,,,,,,,,
"P9WHD3","RL17_MYCTU","reviewed","rplQ Rv3456c MTCY13E12.09c","50S ribosomal protein L17",180,"3D-structure;Complete proteome;Reference proteome;Ribonucleoprotein;Ribosomal protein","Bacterial ribosomal protein bL17 family","mtu:Rv3456c;",,,,,,,,,,
"P9WH01","RNH2_MYCTU","reviewed","rnhB Rv2902c MTCY274.33c","Ribonuclease HII (RNase HII) (EC 3.1.26.4)",264,"Complete proteome;Cytoplasm;Endonuclease;Hydrolase;Manganese;Metal-binding;Nuclease;Reference proteome","RNase HII family","mtu:Rv2902c;",,,,,,,,,,
"P9WGP5","SECA1_MYCTU","reviewed","secA1 Rv3240c MTCY20B11.15c","Protein translocase subunit SecA 1 (tbSecA)",949,"3D-structure;ATP-binding;Cell membrane;Complete proteome;Cytoplasm;Membrane;Nucleotide-binding;Protein transport;Reference proteome;Translocation;Transport","SecA family","mtu:Rv3240c;",,,,,,,,,,
"P9WGP3","SECA2_MYCTU","reviewed","secA2 Rv1821 MTCY1A11.22c","Protein translocase subunit SecA 2",808,"3D-structure;ATP-binding;Cell membrane;Complete proteome;Cytoplasm;Membrane;Nucleotide-binding;Protein transport;Reference proteome;Translocation;Transport","SecA family","mtu:Rv1821;mtv:RVBD_1821;",,,,,,,,,,
"O07747","RPFC_MYCTU","reviewed","rpfC Rv1884c MTCY180.34","Resuscitation-promoting factor RpfC (EC 3.-.-.-)",176,"3D-structure;Complete proteome;Hydrolase;Reference proteome;Signal;Virulence","Transglycosylase family"," Rpf subfamily","mtu:Rv1884c;mtv:RVBD_1884c;",,,,,,,,,
"O53361","SAPM_MYCTU","reviewed","sapM Rv3310 LH57_18080","Phosphatidylinositol-3-phosphatase (PI3P phosphatase) (EC 3.1.3.64) (Acid phosphatase SapM) (EC 3.1.3.2) (Secreted acid phosphatase)",299,"Complete proteome;Direct protein sequencing;Host cytoplasmic vesicle;Hydrolase;Reference proteome;Secreted;Signal;Virulence",,"mtu:Rv3310;mtv:RVBD_3310;",,,,,,,,,,
"P9WKD7","RPIB_MYCTU","reviewed","rpiB Rv2465c MTV008.21c","Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)",162,"3D-structure;Carbohydrate metabolism;Complete proteome;Isomerase;Reference proteome","LacAB/RpiB family","mtu:Rv2465c;mtv:RVBD_2465c;",,,,,,,,,,
"P9WI51","RPE_MYCTU","reviewed","rpe Rv1408 MTCY21B4.25","Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)",229,"Carbohydrate metabolism;Cobalt;Complete proteome;Iron;Isomerase;Manganese;Metal-binding;Reference proteome;Zinc","Ribulose-phosphate 3-epimerase family","mtu:Rv1408;",,,,,,,,,,
"P9WGJ5","SEPF_MYCTU","reviewed","sepF Rv2147c","Cell division protein SepF",218,"Cell cycle;Cell division;Complete proteome;Cytoplasm;Reference proteome;Septation","SepF family","mtu:Rv2147c;",,,,,,,,,,
"P9WGZ1","RPOA_MYCTU","reviewed","rpoA Rv3457c MTCY13E12.10c","DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)",347,"3D-structure;Complete proteome;DNA-directed RNA polymerase;Nucleotidyltransferase;Reference proteome;Transcription;Transferase","RNA polymerase alpha chain family","mtu:Rv3457c;",,,,,,,,,,
"P9WH15","RLMN_MYCTU","reviewed","rlmN Rv2880c/Rv2879c MTCY274.11c/MTCY274.10c","Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)",364,"4Fe-4S;Complete proteome;Cytoplasm;Disulfide bond;Iron;Iron-sulfur;Metal-binding;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;rRNA processing;tRNA processing","Radical SAM superfamily"," RlmN family",,,,,,,,,,
"P9WH13","RMLA_MYCTU","reviewed","rmlA rfbA Rv0334","Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase) (dTDP-glucose synthase)",288,"3D-structure;Complete proteome;Magnesium;Metal-binding;Nucleotidyltransferase;Reference proteome;Transferase","Glucose-1-phosphate thymidylyltransferase family","mtu:Rv0334;",,,,,,,,,,
"P9WH03","RNC_MYCTU","reviewed","rnc Rv2925c MTCY338.14c","Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)",240,"3D-structure;Complete proteome;Cytoplasm;Endonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;RNA-binding;Reference proteome;mRNA processing;rRNA processing;tRNA processing","Ribonuclease III family","mtu:Rv2925c;",,,,,,,,,,
"P9WLH5","RNHPH_MYCTU","reviewed","Rv2228c MTCY427.09c","Bifunctional protein Rv2228c [Includes: Ribonuclease H (EC 3.1.26.4); Adenosylcobalamin/alpha-ribazole phosphatase (EC 3.1.3.73)]",364,"3D-structure;Complete proteome;Endonuclease;Hydrolase;Magnesium;Metal-binding;Multifunctional enzyme;Nuclease;Reference proteome","RNase H family; Histidine phosphatase superfamily","mtu:Rv2228c;",,,,,,,,,,
"P9WGZ9","RNJ_MYCTU","reviewed","rnj Rv2752c","Ribonuclease J (RNase J) (EC 3.1.-.-) (Beta-lactamase) (EC 3.5.2.6) (Penicillinase)",558,"Complete proteome;Cytoplasm;Endonuclease;Exonuclease;Hydrolase;Isopeptide bond;Metal-binding;Nuclease;RNA-binding;Reference proteome;Ubl conjugation;Zinc;rRNA processing","Metallo-beta-lactamase superfamily"," RNA-metabolizing metallo-beta-lactamase-like family"," Bacterial RNase J subfamily","mtu:Rv2752c;",,,,,,,,
"P9WHJ5","RBPA_MYCTU","reviewed","rbpA Rv2050","RNA polymerase-binding protein RbpA",111,"3D-structure;Complete proteome;Reference proteome;Transcription;Transcription regulation","RNA polymerase-binding protein RbpA family","mtu:Rv2050;",,,,,,,,,,
"P9WHI3","RECR_MYCTU","reviewed","recR Rv3715c MTV025.063c","Recombination protein RecR",203,"Complete proteome;DNA damage;DNA recombination;DNA repair;Metal-binding;Reference proteome;Zinc;Zinc-finger","RecR family","mtu:Rv3715c;",,,,,,,,,,
"P9WHJ3","RECA_MYCTU","reviewed","recA Rv2737c MTV002.02c","Protein RecA (Recombinase A) [Cleaved into: Endonuclease PI-MtuI (EC 3.1.-.-) (Mtu RecA intein)]",790,"3D-structure;ATP-binding;Autocatalytic cleavage;Complete proteome;Cytoplasm;DNA damage;DNA recombination;DNA repair;DNA-binding;Endonuclease;Hydrolase;Intron homing;Isopeptide bond;Nuclease;Nucleotide-binding;Protein splicing;Reference proteome;SOS response;Ubl conjugation","RecA family","mtu:Rv2737c;",,,,,,,,,,
"P9WHK7","PYRG_MYCTU","reviewed","pyrG Rv1699 MTCI125.21","CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)",586,"3D-structure;ATP-binding;Complete proteome;Glutamine amidotransferase;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Pyrimidine biosynthesis;Reference proteome","CTP synthase family","mtu:Rv1699;",,,,,,,,,,
"P9WIQ5","RECC_MYCTU","reviewed","recC Rv0631c MTCY20H10.12c","RecBCD enzyme subunit RecC (EC 3.1.11.5) (Exonuclease V subunit RecC) (ExoV subunit RecC) (Helicase/nuclease RecBCD subunit RecC)",1097,"ATP-binding;Complete proteome;DNA damage;DNA repair;DNA-binding;Exonuclease;Helicase;Hydrolase;Nuclease;Nucleotide-binding;Reference proteome","RecC family","mtu:Rv0631c;",,,,,,,,,,
"P9WHI7","RECN_MYCTU","reviewed","recN Rv1696 MTCI125.18","DNA repair protein RecN (Recombination protein N)",587,"ATP-binding;Complete proteome;DNA damage;DNA repair;Nucleotide-binding;Reference proteome","RecN family","mtu:Rv1696;",,,,,,,,,,
"P9WMQ7","RECG_MYCTU","reviewed","recG Rv2973c MTCY349.14","ATP-dependent DNA helicase RecG (EC 3.6.4.12)",737,"ATP-binding;Complete proteome;DNA damage;DNA recombination;DNA repair;DNA-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome","Helicase family"," RecG subfamily","mtu:Rv2973c;",,,,,,,,,
"P9WMQ3","RECB_MYCTU","reviewed","recB Rv0630c MTCY20H10.11c","RecBCD enzyme subunit RecB (EC 3.1.11.5) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB)",1094,"ATP-binding;Complete proteome;DNA damage;DNA repair;DNA-binding;Exonuclease;Helicase;Hydrolase;Magnesium;Metal-binding;Nuclease;Nucleotide-binding;Reference proteome","Helicase family"," UvrD subfamily","mtu:Rv0630c;",,,,,,,,,
"P9WHI9","RECF_MYCTU","reviewed","recF Rv0003 MTCY10H4.01","DNA replication and repair protein RecF",385,"ATP-binding;Complete proteome;Cytoplasm;DNA damage;DNA repair;DNA replication;DNA-binding;Nucleotide-binding;Reference proteome;SOS response","RecF family","mtu:Rv0003;",,,,,,,,,,
"P9WGL9","REGX3_MYCTU","reviewed","regX3 Rv0491 MTCY20G9.17","Sensory transduction protein regX3",227,"3D-structure;Complete proteome;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system",,"mtu:Rv0491;",,,,,,,,,,
"P9WHE9","RISB_MYCTU","reviewed","ribH Rv1416 MTCY21B4.34",6,"7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)",160,"3D-structure;Complete proteome;Reference proteome;Riboflavin biosynthesis;Transferase","DMRL synthase family","mtu:Rv1416;",,,,,,,,,
"P9WH59","RS14_MYCTU","reviewed","rpsN rpsN2 Rv2056c MTCY63A.04","30S ribosomal protein S14",101,"Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Universal ribosomal protein uS14 family","mtu:Rv2056c;",,,,,,,,,,
"P9WHA9","RL28B_MYCTU","reviewed","rpmB2 Rv2058c MTCY63A.02","50S ribosomal protein L28-2",78,"Complete proteome;Reference proteome;Ribonucleoprotein;Ribosomal protein","Bacterial ribosomal protein bL28 family","mtu:Rv2058c;",,,,,,,,,,
"P9WGZ3","RNPA_MYCTU","reviewed","rnpA Rv3923c MTV028.14c","Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)",116,"Complete proteome;Endonuclease;Hydrolase;Nuclease;RNA-binding;Reference proteome;tRNA processing","RnpA family","mtu:Rv3923c;",,,,,,,,,,
"O07802","SAP_MYCTU","reviewed","sap Rv3821 RVBD_3821 LH57_20825 P425_03979","Sulfolipid-1 exporter Sap (Sulfolipid-1-addressing protein)",237,"Cell inner membrane;Cell membrane;Cell wall biogenesis/degradation;Complete proteome;Lipid transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport","Peptidoglycolipid addressing protein (GAP) (TC 2.A.116) family","mtu:Rv3821;mtv:RVBD_3821;",,,,,,,,,,
"P9WN65","RMLB_MYCTU","reviewed","rmlB rfbB Rv3464","dTDP-glucose 4","6-dehydratase (EC 4.2.1.46)",331,"Complete proteome;Lyase;NAD;Reference proteome","NAD(P)-dependent epimerase/dehydratase family"," dTDP-glucose dehydratase subfamily","mtu:Rv3464;",,,,,,,,
"P9WH99","RL32_MYCTU","reviewed","rpmF Rv0979.1c Rv0979A","50S ribosomal protein L32",57,"3D-structure;Complete proteome;Reference proteome;Ribonucleoprotein;Ribosomal protein","Bacterial ribosomal protein bL32 family","mtu:Rv0979A;",,,,,,,,,,
"P9WH81","RL6_MYCTU","reviewed","rplF Rv0719 MTCY210.38","50S ribosomal protein L6",179,"3D-structure;Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Universal ribosomal protein uL6 family","mtu:Rv0719;",,,,,,,,,,
"P9WH11","RMLC_MYCTU","reviewed","rmlC strM Rv3465","dTDP-4-dehydrorhamnose 3","5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3","5-epimerase) (dTDP-4-keto-6-deoxyglucose 3","5-epimerase) (dTDP-6-deoxy-D-xylo-4-hexulose 3","5-epimerase) (dTDP-L-rhamnose synthase)",202,"3D-structure;Carbohydrate metabolism;Complete proteome;Isomerase;Reference proteome","DTDP-4-dehydrorhamnose 3","5-epimerase family","mtu:Rv3465;",,,,,
"P9WH83","RL5_MYCTU","reviewed","rplE Rv0716 MTCY210.35","50S ribosomal protein L5",187,"3D-structure;Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding;tRNA-binding","Universal ribosomal protein uL5 family","mtu:Rv0716;",,,,,,,,,,
"P9WH85","RL4_MYCTU","reviewed","rplD Rv0702 MTCY210.21","50S ribosomal protein L4",223,"3D-structure;Complete proteome;RNA-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;rRNA-binding","Universal ribosomal protein uL4 family","mtu:Rv0702;",,,,,,,,,,
"P9WH09","RMLD_MYCTU","reviewed","rmlD Rv3266c","dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)",304,"Carbohydrate metabolism;Complete proteome;Magnesium;Metal-binding;NAD;NADP;Oxidoreductase;Reference proteome","DTDP-4-dehydrorhamnose reductase family","mtu:Rv3266c;",,,,,,,,,,
"P9WP45","COX4_MYCTU","reviewed","ctaF Rv2199c MTCY190.10c","Probable cytochrome c oxidase polypeptide 4 (EC 1.9.3.1) (Cytochrome aa3 subunit 4) (Cytochrome c oxidase polypeptide IV)",139,"Cell membrane;Complete proteome;Membrane;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix","Cytochrome c oxidase bacterial subunit CtaF family","mtu:Rv2199c;",,,,,,,,,,
"P9WP63","CRCB1_MYCTU","reviewed","crcB1 Rv3069 MTCY22D7.12c","Putative fluoride ion transporter CrcB 1",132,"Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport","CrcB (TC 9.B.71) family","mtu:Rv3069;",,,,,,,,,,
"P9WP61","CRCB2_MYCTU","reviewed","crcB2 Rv3070 MTCY22D7.11c","Putative fluoride ion transporter CrcB 2",126,"Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport","CrcB (TC 9.B.71) family","mtu:Rv3070;",,,,,,,,,,
"P9WPK7","EGTA_MYCTU","reviewed","egtA gshA Rv3704c","Glutamate--cysteine ligase EgtA (EC 6.3.2.2) (Gamma-glutamylcysteine synthase) (GCS) (Gamma-ECS)",432,"ATP-binding;Complete proteome;Direct protein sequencing;Ligase;Nucleotide-binding;Reference proteome","Glutamate--cysteine ligase type 2 family"," EgtA subfamily","mtu:Rv3704c;",,,,,,,,,
"O69671","EGTB_MYCTU","reviewed","egtB Rv3703c","Hercynine oxygenase (EC 1.14.99.50) (Gamma-glutamyl hercynylcysteine S-oxide synthase)",425,"Complete proteome;Iron;Metal-binding;Monooxygenase;Oxidoreductase;Reference proteome","EgtB family","mtu:Rv3703c;",,,,,,,,,,
"P9WMH3","CRPL_MYCTU","reviewed","crp Rv3676","CRP-like cAMP-activated global transcriptional regulator (cAMP receptor protein) (CRP) (cAMP regulatory protein)",224,"3D-structure;Activator;Complete proteome;DNA-binding;Nucleotide-binding;Reference proteome;Repressor;Transcription;Transcription regulation;Virulence;cAMP;cAMP-binding",,"mtu:Rv3676;",,,,,,,,,,
"P9WHP3","CRTB_MYCTU","reviewed","crtB phyA Rv3397c MTCY78.31","Phytoene synthase (PSase) (EC 2.5.1.-)",302,"Carotenoid biosynthesis;Complete proteome;Magnesium;Manganese;Metal-binding;Reference proteome;Transferase","Phytoene/squalene synthase family","mtu:Rv3397c;",,,,,,,,,,
"P9WPH3","CDD_MYCTU","reviewed","cdd Rv3315c","Cytidine deaminase (CDD) (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)",133,"3D-structure;Complete proteome;Direct protein sequencing;Hydrolase;Metal-binding;Reference proteome;Zinc","Cytidine and deoxycytidylate deaminase family","mtu:Rv3315c;",,,,,,,,,,
"P9WP71","COX1_MYCTU","reviewed","ctaD Rv3043c MTV012.58c","Probable cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I)",573,"Acetylation;Cell membrane;Complete proteome;Copper;Electron transport;Heme;Iron;Membrane;Metal-binding;Oxidoreductase;Reference proteome;Respiratory chain;Transmembrane;Transmembrane helix;Transport","Heme-copper respiratory oxidase family","mtu:Rv3043c;",,,,,,,,,,
"P9WP69","COX2_MYCTU","reviewed","ctaC Rv2200c MTCY190.11c","Cytochrome c oxidase subunit 2 (EC 1.9.3.1) (Cytochrome aa3 subunit 2) (Cytochrome c oxidase polypeptide II) (Mtb92)",363,"Cell membrane;Complete proteome;Copper;Electron transport;Heme;Iron;Membrane;Metal-binding;Oxidoreductase;Reference proteome;Respiratory chain;Signal;Transmembrane;Transmembrane helix;Transport","Cytochrome c oxidase subunit 2 family","mtu:Rv2200c;",,,,,,,,,,
"P9WFF7","DPDS_MYCTU","reviewed","uppS Rv2361c MTCY27.19","Decaprenyl diphosphate synthase (DecaPP) (EC 2.5.1.86) (EC 2.5.1.87) (Decaprenyl pyrophosphate synthase) (Long-chain isoprenyl diphosphate synthase) (Trans","polycis-decaprenyl diphosphate synthase)",296,"3D-structure;Cell membrane;Complete proteome;Magnesium;Membrane;Metal-binding;Reference proteome;Transferase","UPP synthase family","mtu:Rv2361c;",,,,,,,,,
"P9WPP7","CP121_MYCTU","reviewed","cyp121 Rv2276 MTCY339.34c","Mycocyclosin synthase (EC 1.14.19.70) (Cytochrome P450 121) (Cytochrome P450 MT2)",396,"3D-structure;Complete proteome;Cytoplasm;Heme;Iron;Metal-binding;Monooxygenase;Oxidoreductase;Reference proteome","Cytochrome P450 family","mtu:Rv2276;",,,,,,,,,,
