"PATRIC ID","locus_tag","Feature ID","Start","End","Length","Strand","FIGfam ID","PATRIC genus-specific families (PLfams)","Protein ID","AA Length","Gene Symbol","product","GO"
"fig|83332.12.peg.2044","Rv1832","PATRIC.83332.12.NC_000962.CDS.2075877.2078702.fwd",2075877,2078702,2826,"+","FIG00000700","PLF_1763_00060598","NP_216348.1",941,"gcvB","Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)","GO:0004375|glycine dehydrogenase (decarboxylating) activity"
"fig|83332.12.peg.2045","Rv1833c","PATRIC.83332.12.NC_000962.CDS.2078929.2079789.rev",2078929,2079789,861,"-","FIG01311780","PLF_1763_00002648","NP_216349.1",286,,"Haloalkane dehalogenase 2 (EC 3.8.1.5)",
"fig|83332.12.peg.2046","Rv1834","PATRIC.83332.12.NC_000962.CDS.2079932.2080696.fwd",2079932,2080696,765,"+","FIG00801965","PLF_1763_00002587","NP_216350.1",254,,"Hydrolase",
"fig|83332.12.peg.2047","Rv1835c","PATRIC.83332.12.NC_000962.CDS.2080701.2082509.rev",2080701,2082509,1809,"-","FIG01324503","PLF_1763_00003873","NP_216351.1",602,,"hypothetical protein",
"fig|83332.12.peg.2048","Rv1836c","PATRIC.83332.12.NC_000962.CDS.2082603.2084636.rev",2082603,2084636,2034,"-","FIG00820280","PLF_1763_00214971","NP_216352.1",677,,"hypothetical protein",
"fig|83332.12.peg.2049","Rv1837c","PATRIC.83332.12.NC_000962.CDS.2084756.2086981.rev",2084756,2086981,2226,"-","FIG00001433","PLF_1763_00000536","NP_216353.1",741,"glcB","Malate synthase G (EC 2.3.3.9)","GO:0004474|malate synthase activity"
"fig|83332.12.peg.201","Rv0177","PATRIC.83332.12.NC_000962.CDS.208636.208971.fwd",208636,208971,336,"+","FIG00821709","PLF_1763_00002758","NP_214691.1",111,,"FIG00821219: MCE associated membrane protein",
"fig|83332.12.peg.2050","Rv1838c","PATRIC.83332.12.NC_000962.CDS.2087257.2087652.rev",2087257,2087652,396,"-","FIG00821466","PLF_1763_00013790","NP_216354.1",131,,"toxin VapC13 @ Toxin 1, PIN domain",
"fig|83332.12.peg.2051","Rv1839c","PATRIC.83332.12.NC_000962.CDS.2087649.2087765.rev",2087649,2087765,117,"-","FIG01390988","PLF_1763_00003911","NP_216355.1",38,,"hypothetical protein",
"fig|83332.12.peg.2052","Rv1840c","PATRIC.83332.12.NC_000962.CDS.2087971.2089518.rev",2087971,2089518,1548,"-","FIG01311212","PLF_1763_00146445","YP_177847.1",515,"PE_PGRS34","PE_PGRS family protein => PE_PGRS34",
"fig|83332.12.peg.202","Rv0178","PATRIC.83332.12.NC_000962.CDS.208938.209672.fwd",208938,209672,735,"+","FIG01306441","PLF_1763_00001985","NP_214692.1",244,,"FIG00820195: MCE associated membrane protein",
"fig|83332.12.peg.2053","Rv1841c","PATRIC.83332.12.NC_000962.CDS.2089681.2090718.rev",2089681,2090718,1038,"-","FIG00042627","PLF_1763_00012573","NP_216357.1",345,,"Magnesium and cobalt efflux protein CorC",
"fig|83332.12.peg.2054","Rv1842c","PATRIC.83332.12.NC_000962.CDS.2090718.2092085.rev",2090718,2092085,1368,"-","FIG00042627","PLF_1763_00157335","NP_216358.1",455,,"UPF0053 protein Rv1842c/MT1890",
"fig|83332.12.peg.2055","Rv1843c","PATRIC.83332.12.NC_000962.CDS.2092259.2093698.rev",2092259,2093698,1440,"-","FIG00020613","PLF_1763_00000398","NP_216359.1",479,"guaB1","Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain","GO:0003938|IMP dehydrogenase activity"
"fig|83332.12.peg.2056","Rv1844c","PATRIC.83332.12.NC_000962.CDS.2093731.2095188.rev",2093731,2095188,1458,"-","FIG00000405","PLF_1763_00000456","YP_177848.1",485,"gnd1","6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)","GO:0004616|phosphogluconate dehydrogenase (decarboxylating) activity"
"fig|83332.12.peg.2057","Rv1845c","PATRIC.83332.12.NC_000962.CDS.2095218.2096168.rev",2095218,2096168,951,"-","FIG00996554","PLF_1763_00001144","NP_216361.1",316,,"Peptidase M48, Ste24p precursor",
"fig|83332.12.peg.2058","Rv1846c","PATRIC.83332.12.NC_000962.CDS.2096183.2096599.rev",2096183,2096599,417,"-","FIG01317294","PLF_1763_00002247","NP_216362.1",138,,"Transcriptional regulator, BlaI family",
"fig|83332.12.peg.2059","Rv1847","PATRIC.83332.12.NC_000962.CDS.2096877.2097299.fwd",2096877,2097299,423,"+","FIG00998593","PLF_1763_00002963","NP_216363.1",140,,"Putative esterase",
"fig|83332.12.peg.203","Rv0179c","PATRIC.83332.12.NC_000962.CDS.209703.210812.rev",209703,210812,1110,"-","FIG00823768","PLF_1763_00000535","NP_214693.1",369,"lprO","Lipoprotein LprO",
"fig|83332.12.peg.2060","Rv1848","PATRIC.83332.12.NC_000962.CDS.2097348.2097650.fwd",2097348,2097650,303,"+","FIG00010604","PLF_1763_00001677","NP_216364.1",100,"ureA","Urease gamma subunit (EC 3.5.1.5)","GO:0009039|urease activity"
"fig|83332.12.peg.2061","Rv1849","PATRIC.83332.12.NC_000962.CDS.2097647.2097961.fwd",2097647,2097961,315,"+","FIG00001042","PLF_1763_00295484","NP_216365.1",104,"ureB","Urease beta subunit (EC 3.5.1.5)","GO:0009039|urease activity"
"fig|83332.12.peg.2062","Rv1850","PATRIC.83332.12.NC_000962.CDS.2097961.2099694.fwd",2097961,2099694,1734,"+","FIG00002050","PLF_1763_00059587","NP_216366.1",577,"ureC","Urease alpha subunit (EC 3.5.1.5)","GO:0009039|urease activity"
"fig|83332.12.peg.2063","Rv1851","PATRIC.83332.12.NC_000962.CDS.2099694.2100329.fwd",2099694,2100329,636,"+","FIG00001025","PLF_1763_00002712","NP_216367.1",211,"ureF","Urease accessory protein UreF","GO:0006807|nitrogen compound metabolic process;GO:0016151|nickel ion binding"
"fig|83332.12.peg.2064","Rv1852","PATRIC.83332.12.NC_000962.CDS.2100340.2101014.fwd",2100340,2101014,675,"+","FIG00001001","PLF_1763_00001649","NP_216368.1",224,"ureG","Urease accessory protein UreG",
"fig|83332.12.peg.2065","Rv1853","PATRIC.83332.12.NC_000962.CDS.2101022.2101648.fwd",2101022,2101648,627,"+","FIG00001113","PLF_1763_00006875","NP_216369.1",208,"ureD","Urease accessory protein UreD","GO:0006807|nitrogen compound metabolic process;GO:0016151|nickel ion binding"
"fig|83332.12.peg.2066","Rv1854c","PATRIC.83332.12.NC_000962.CDS.2101651.2102991.rev",2101651,2102991,1341,"-","FIG00008708","PLF_1763_00000538","NP_216370.1",446,"ndh","NADH dehydrogenase (EC 1.6.99.3)","GO:0003954|NADH dehydrogenase activity"
"fig|83332.12.peg.2067","Rv1855c","PATRIC.83332.12.NC_000962.CDS.2103184.2104107.rev",2103184,2104107,924,"-","FIG01321859","PLF_1763_00002279","NP_216371.1",307,,"Oxidoreductase",
"fig|83332.12.peg.2068","Rv1856c","PATRIC.83332.12.NC_000962.CDS.2104146.2104817.rev",2104146,2104817,672,"-","FIG00993242","PLF_1763_00341323","NP_216372.1",223,,"Oxidoreductase Rv1856c, short-chain dehydrogenase/reductase family",
"fig|83332.12.peg.2069","Rv1857","PATRIC.83332.12.NC_000962.CDS.2104985.2105770.fwd",2104985,2105770,786,"+","FIG00021644","PLF_1763_00021754","NP_216373.1",261,"modA","Molybdenum ABC transporter, substrate-binding protein ModA",
"fig|83332.12.peg.2070","Rv1858","PATRIC.83332.12.NC_000962.CDS.2105830.2106567.fwd",2105830,2106567,738,"+","FIG00002718","PLF_1763_00001244","NP_216374.1",245,"modB","Molybdenum ABC transporter permease protein ModB",
"fig|83332.12.peg.2071","Rv1859","PATRIC.83332.12.NC_000962.CDS.2106574.2107683.fwd",2106574,2107683,1110,"+","FIG00002742","PLF_1763_00027185","NP_216375.1",369,"modC","Molybdenum ABC transporter ATP-binding protein ModC",
"fig|83332.12.peg.2072",,"PATRIC.83332.12.NC_000962.CDS.2107741.2107995.rev",2107741,2107995,255,"-","FIG00638284","PLF_1763_00011370",,84,,"hypothetical protein",
"fig|83332.12.peg.2073","Rv1860","PATRIC.83332.12.NC_000962.CDS.2108120.2108713.fwd",2108120,2108713,594,"+","FIG00822366","PLF_1763_00308520","YP_177849.1",197,"apa","hypothetical protein",
"fig|83332.12.peg.2074",,"PATRIC.83332.12.NC_000962.CDS.2108670.2108798.rev",2108670,2108798,129,"-","FIG00638284","PLF_1763_00003761",,42,,"hypothetical protein",
"fig|83332.12.peg.204","Rv0180c","PATRIC.83332.12.NC_000962.CDS.210892.212250.rev",210892,212250,1359,"-","FIG01121868","PLF_1763_00001651","NP_214694.1",452,,"putative membrane protein",
"fig|83332.12.peg.2075",,"PATRIC.83332.12.NC_000962.CDS.2108948.2109064.rev",2108948,2109064,117,"-","FIG00821490","PLF_1763_00003779",,38,,"hypothetical protein",
"fig|83332.12.peg.2076","Rv1861","PATRIC.83332.12.NC_000962.CDS.2109165.2109470.fwd",2109165,2109470,306,"+","FIG01121868","PLF_1763_00002987","NP_216377.1",101,,"putative membrane protein",
"fig|83332.12.peg.2077","Rv1862","PATRIC.83332.12.NC_000962.CDS.2109544.2110584.fwd",2109544,2110584,1041,"+","FIG01007502","PLF_1763_00191053","NP_216378.1",346,"adhA","Alcohol dehydrogenase (EC 1.1.1.1)","GO:0004022|alcohol dehydrogenase activity"
"fig|83332.12.peg.2078","Rv1863c","PATRIC.83332.12.NC_000962.CDS.2110591.2111313.rev",2110591,2111313,723,"-","FIG01121868","PLF_1763_00003057","NP_216379.1",240,,"putative membrane protein",
"fig|83332.12.peg.2079","Rv1864c","PATRIC.83332.12.NC_000962.CDS.2111354.2112109.rev",2111354,2112109,756,"-","FIG01311050","PLF_1763_00051514","NP_216380.1",251,,"Uncharacterized protein SCO4765",
"fig|83332.12.peg.2080","Rv1865c","PATRIC.83332.12.NC_000962.CDS.2112106.2112966.rev",2112106,2112966,861,"-","FIG00993242","PLF_1763_00002272","NP_216381.1",286,,"Short-chain dehydrogenase",
"fig|83332.12.peg.2081","Rv1866","PATRIC.83332.12.NC_000962.CDS.2113062.2115476.fwd",2113062,2115476,2415,"+","FIG01313105","PLF_1763_00049577","NP_216382.1",804,,"CaiB/BaiF family protein",
"fig|83332.12.peg.2082",,"PATRIC.83332.12.NC_000962.CDS.2115611.2115760.rev",2115611,2115760,150,"-","FIG01332031","PLF_1763_00003822",,49,,"hypothetical protein",
"fig|83332.12.peg.2083","Rv1867","PATRIC.83332.12.NC_000962.CDS.2115788.2117248.fwd",2115788,2117248,1461,"+","FIG00832423","PLF_1763_00165297","NP_216383.1",486,,"Acetyl-CoA acetyltransferase",
"fig|83332.12.peg.2084","Rv1868","PATRIC.83332.12.NC_000962.CDS.2117347.2119446.fwd",2117347,2119446,2100,"+","FIG00000789","PLF_1763_00010154","NP_216384.1",699,,"Phosphoenolpyruvate synthase (EC 2.7.9.2)","GO:0008986|pyruvate, water dikinase activity"
"fig|83332.12.peg.2085","Rv1869c","PATRIC.83332.12.NC_000962.CDS.2119460.2120695.rev",2119460,2120695,1236,"-","FIG01293726","PLF_1763_00001924","NP_216385.1",411,,"Anthranilate dioxygenase reductase",
"fig|83332.12.peg.2086","Rv1870c","PATRIC.83332.12.NC_000962.CDS.2120795.2121397.rev",2120795,2121397,603,"-","FIG00820351","PLF_1763_00082185","NP_216386.1",200,,"hypothetical protein",
"fig|83332.12.peg.2087","Rv1871c","PATRIC.83332.12.NC_000962.CDS.2121495.2121872.rev",2121495,2121872,378,"-","FIG00820079","PLF_1763_00049070","NP_216387.1",125,,"hypothetical protein",
"fig|83332.12.peg.2088","Rv1872c","PATRIC.83332.12.NC_000962.CDS.2121907.2123151.rev",2121907,2123151,1245,"-","FIG00121995","PLF_1763_00001849","NP_216388.1",414,"lldD2","L-lactate dehydrogenase",
"fig|83332.12.peg.205","Rv0181c","PATRIC.83332.12.NC_000962.CDS.212277.213011.rev",212277,213011,735,"-","FIG01311916","PLF_1763_00000922","NP_214695.1",244,,"Pirin",
"fig|83332.12.peg.2089","Rv1873","PATRIC.83332.12.NC_000962.CDS.2123174.2123611.fwd",2123174,2123611,438,"+","FIG00004782","PLF_1763_00002242","NP_216389.1",145,,"NTP pyrophosphohydrolases including oxidative damage repair enzymes",
"fig|83332.12.peg.2090","Rv1874","PATRIC.83332.12.NC_000962.CDS.2123666.2124370.fwd",2123666,2124370,705,"+","FIG00820972","PLF_1763_00001612","NP_216390.1",234,,"hypothetical protein",
"fig|83332.12.peg.2091","Rv1875","PATRIC.83332.12.NC_000962.CDS.2124381.2124824.fwd",2124381,2124824,444,"+","FIG01381952","PLF_1763_00023434","NP_216391.1",147,,"probable F420-dependent enzyme",
"fig|83332.12.peg.2092",,"PATRIC.83332.12.NC_000962.CDS.2124830.2125042.rev",2124830,2125042,213,"-","FIG00820182","PLF_1763_00013444",,70,,"hypothetical protein",
"fig|83332.12.peg.2093","Rv1876","PATRIC.83332.12.NC_000962.CDS.2125340.2125819.fwd",2125340,2125819,480,"+","FIG01312040","PLF_1763_00001561","NP_216392.1",159,"bfrA","Bacterioferritin (EC 1.16.3.1)","GO:0004322|ferroxidase activity"
"fig|83332.12.peg.2094","Rv1877","PATRIC.83332.12.NC_000962.CDS.2125973.2127967.fwd",2125973,2127967,1995,"+","FIG00997405","PLF_1763_00002620","NP_216393.1",664,,"MFS-type transporter Rv1877 family => implicated in rifampicin, ofloxacin efflux",
"fig|83332.12.peg.2095","Rv1878","PATRIC.83332.12.NC_000962.CDS.2128022.2129374.fwd",2128022,2129374,1353,"+","FIG01314524","PLF_1763_00001884","NP_216394.1",450,"glnA3","Glutamine synthetase-like protein",
"fig|83332.12.peg.2096","Rv1879","PATRIC.83332.12.NC_000962.CDS.2129377.2130513.fwd",2129377,2130513,1137,"+","FIG01311586","PLF_1763_00002481","NP_216395.1",378,,"Amidohydrolase",
"fig|83332.12.peg.206","Rv0182c","PATRIC.83332.12.NC_000962.CDS.213028.214026.rev",213028,214026,999,"-","FIG00820006","PLF_1763_00023441","NP_214696.1",332,"sigG","RNA polymerase ECF-type sigma factor",
"fig|83332.12.peg.2097","Rv1880c","PATRIC.83332.12.NC_000962.CDS.2130541.2131857.rev",2130541,2131857,1317,"-","FIG01337186","PLF_1763_00051816","NP_216396.1",438,"cyp140","Cytochrome P450 140",
"fig|83332.12.peg.2098","Rv1881c","PATRIC.83332.12.NC_000962.CDS.2131907.2132329.rev",2131907,2132329,423,"-","FIG01328245","PLF_1763_00003205","NP_216397.1",140,"lppE","Lipoprotein LppE",
"fig|83332.12.peg.2099","Rv1882c","PATRIC.83332.12.NC_000962.CDS.2132370.2133203.rev",2132370,2133203,834,"-","FIG00831186","PLF_1763_00002092","NP_216398.1",277,,"Probable short-chain type dehydrogenase/reductase (EC 1.1.-.-)",
"fig|83332.12.peg.2100","Rv1883c","PATRIC.83332.12.NC_000962.CDS.2133231.2133650.rev",2133231,2133650,420,"-","FIG00820652","PLF_1763_00001305","NP_216399.1",139,,"FIG00820653: hypothetical protein",
"fig|83332.12.peg.2101","Rv1884c","PATRIC.83332.12.NC_000962.CDS.2133731.2134153.rev",2133731,2134153,423,"-","FIG01310076","PLF_1763_00002351","NP_216400.1",140,"rpfC","Resuscitation-promoting factor RpfC",
"fig|83332.12.peg.2102","Rv1885c","PATRIC.83332.12.NC_000962.CDS.2134273.2134872.rev",2134273,2134872,600,"-","FIG00132814","PLF_1763_00003130","NP_216401.1",199,,"Periplasmic chorismate mutase I precursor (EC 5.4.99.5)",
"fig|83332.12.peg.2103","Rv1886c","PATRIC.83332.12.NC_000962.CDS.2134890.2135822.rev",2134890,2135822,933,"-","FIG00820332","PLF_1763_00002157","NP_216402.1",310,"fbpB","Antigen 85-B precursor (85B) @ Mycolyl transferase 85B (EC 2.3.1.20)","GO:0004144|diacylglycerol O-acyltransferase activity"
"fig|83332.12.peg.2104","Rv1887","PATRIC.83332.12.NC_000962.CDS.2136342.2137400.fwd",2136342,2137400,1059,"+","FIG01121868","PLF_1763_00008362","NP_216403.1",352,,"putative membrane protein",
"fig|83332.12.peg.2105",,"PATRIC.83332.12.NC_000962.CDS.2137370.2137507.rev",2137370,2137507,138,"-","FIG01559392","PLF_1763_00347586",,45,,"hypothetical protein",
"fig|83332.12.peg.2106","Rv1888c","PATRIC.83332.12.NC_000962.CDS.2137519.2138079.rev",2137519,2138079,561,"-","FIG01121868","PLF_1763_00003174","NP_216404.1",186,,"putative membrane protein",
"fig|83332.12.peg.2107",,"PATRIC.83332.12.NC_000962.CDS.2138319.2138498.fwd",2138319,2138498,180,"+",,"PLF_1763_00004156",,59,,"hypothetical protein",
"fig|83332.12.peg.2108","Rv1888A","PATRIC.83332.12.NC_000962.CDS.2138444.2138617.rev",2138444,2138617,174,"-","FIG00822190","PLF_1763_00045995","YP_177654.1",57,,"O-methyltransferase",
"fig|83332.12.peg.2109","Rv1889c","PATRIC.83332.12.NC_000962.CDS.2138661.2139017.rev",2138661,2139017,357,"-","FIG00821228","PLF_1763_00003380","NP_216405.1",118,,"O-methyltransferase",
"fig|83332.12.peg.2110","Rv1890c","PATRIC.83332.12.NC_000962.CDS.2139076.2139546.rev",2139076,2139546,471,"-","FIG00820861","PLF_1763_00154912","NP_216406.1",156,,"hypothetical protein",
"fig|83332.12.peg.2111","Rv1891","PATRIC.83332.12.NC_000962.CDS.2139741.2140148.fwd",2139741,2140148,408,"+","FIG01121868","PLF_1763_00002935","NP_216407.1",135,,"putative membrane protein",
"fig|83332.12.peg.2112","Rv1892","PATRIC.83332.12.NC_000962.CDS.2140165.2140476.fwd",2140165,2140476,312,"+","FIG01121868","PLF_1763_00002221","NP_216408.1",103,,"putative membrane protein",
"fig|83332.12.peg.2113","Rv1893","PATRIC.83332.12.NC_000962.CDS.2140486.2140704.fwd",2140486,2140704,219,"+","FIG00822023","PLF_1763_00002219","NP_216409.1",72,,"hypothetical protein",
"fig|83332.12.peg.2114","Rv1894c","PATRIC.83332.12.NC_000962.CDS.2140739.2141869.rev",2140739,2141869,1131,"-","FIG01304356","PLF_1763_00138866","NP_216410.1",376,,"putative oxidoreductase, nitronate monooxygenase family",
"fig|83332.12.peg.207","Rv0183","PATRIC.83332.12.NC_000962.CDS.214088.214927.fwd",214088,214927,840,"+","FIG01303922","PLF_1763_00000364","NP_214697.2",279,,"Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)","GO:0004622|lysophospholipase activity;GO:0047372|acylglycerol lipase activity"
"fig|83332.12.peg.2115",,"PATRIC.83332.12.NC_000962.CDS.2141917.2142090.rev",2141917,2142090,174,"-","FIG00823384","PLF_1763_00003234",,57,,"hypothetical protein",
"fig|83332.12.peg.2116",,"PATRIC.83332.12.NC_000962.CDS.2142395.2142514.fwd",2142395,2142514,120,"+",,"PLF_1763_00004140",,39,,"hypothetical protein",
"fig|83332.12.peg.2117","Rv1895","PATRIC.83332.12.NC_000962.CDS.2142521.2143675.fwd",2142521,2143675,1155,"+",,"PLF_1763_00000118","NP_216411.1",384,,"Threonine dehydrogenase and related Zn-dependent dehydrogenases",
"fig|83332.12.peg.2118","Rv1896c","PATRIC.83332.12.NC_000962.CDS.2143535.2144446.rev",2143535,2144446,912,"-","FIG01342021","PLF_1763_00025108","NP_216412.1",303,,"O-methyltransferase",
"fig|83332.12.peg.2119","Rv1897c","PATRIC.83332.12.NC_000962.CDS.2144451.2144828.rev",2144451,2144828,378,"-","FIG00000473","PLF_1763_00001223","NP_216413.1",125,,"D-aminoacyl-tRNA deacylase (EC 3.1.1.96)",
"fig|83332.12.peg.2120","Rv1898","PATRIC.83332.12.NC_000962.CDS.2144940.2145248.fwd",2144940,2145248,309,"+","FIG01312625","PLF_1763_00058635","NP_216414.1",102,,"ExtraCellular Mutant; Ecm15p",
"fig|83332.12.peg.2121","Rv1899c","PATRIC.83332.12.NC_000962.CDS.2145214.2145735.rev",2145214,2145735,522,"-","FIG01314811","PLF_1763_00002588","NP_216415.1",173,"lppD","Lipoprotein LppD",
"fig|83332.12.peg.2122",,"PATRIC.83332.12.NC_000962.CDS.2145970.2146248.fwd",2145970,2146248,279,"+","FIG00638284","PLF_1763_00304632",,92,,"hypothetical protein",
"fig|83332.12.peg.2123","Rv1900c","PATRIC.83332.12.NC_000962.CDS.2146245.2147582.rev",2146245,2147582,1338,"-","FIG01309239","PLF_1763_00002371","NP_216416.1",445,"lipJ","lignin peroxidase LipJ",
"fig|83332.12.peg.2124","Rv1901","PATRIC.83332.12.NC_000962.CDS.2147662.2148954.fwd",2147662,2148954,1293,"+","FIG01304044","PLF_1763_00001614","NP_216417.1",430,"cinA","ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42)","GO:0047631|ADP-ribose diphosphatase activity;GO:0019159|nicotinamide-nucleotide amidase activity"
"fig|83332.12.peg.2125","Rv1902c","PATRIC.83332.12.NC_000962.CDS.2149006.2150232.rev",2149006,2150232,1227,"-","FIG01308258","PLF_1763_00001617","NP_216418.1",408,"nanT","Sialic acid-transport integral membrane protein NanT",
"fig|83332.12.peg.208","Rv0184","PATRIC.83332.12.NC_000962.CDS.214969.215718.fwd",214969,215718,750,"+","FIG00819975","PLF_1763_00001235","NP_214698.1",249,,"hypothetical protein Rv0184",
"fig|83332.12.peg.2126","Rv1903","PATRIC.83332.12.NC_000962.CDS.2150364.2150768.fwd",2150364,2150768,405,"+","FIG01121868","PLF_1763_00001749","NP_216419.1",134,,"putative membrane protein",
"fig|83332.12.peg.2127","Rv1904","PATRIC.83332.12.NC_000962.CDS.2151080.2151385.fwd",2151080,2151385,306,"+","FIG00722824","PLF_1763_00002841","NP_216420.1",101,,"Anti-sigma B factor antagonist RsbV",
"fig|83332.12.peg.2128","Rv1905c","PATRIC.83332.12.NC_000962.CDS.2151433.2152395.rev",2151433,2152395,963,"-","FIG00002178","PLF_1763_00002032","NP_216421.1",320,"aao","D-amino-acid oxidase (EC 1.4.3.3)",
"fig|83332.12.peg.2129","Rv1906c","PATRIC.83332.12.NC_000962.CDS.2152425.2152817.rev",2152425,2152817,393,"-","FIG00823745","PLF_1763_00003349","NP_216422.1",130,,"FIG00823749: hypothetical protein",
"fig|83332.12.peg.2130",,"PATRIC.83332.12.NC_000962.CDS.2152953.2153081.rev",2152953,2153081,129,"-","FIG01406770","PLF_1763_00003406",,42,,"hypothetical protein",
"fig|83332.12.peg.2131","Rv1907c","PATRIC.83332.12.NC_000962.CDS.2153235.2153708.rev",2153235,2153708,474,"-","FIG01322129","PLF_1763_00003480","NP_216423.1",157,,"hypothetical protein",
"fig|83332.12.peg.2132","Rv1908c","PATRIC.83332.12.NC_000962.CDS.2153889.2156111.rev",2153889,2156111,2223,"-","FIG00000907","PLF_1763_00000180","NP_216424.1",740,"katG","Catalase-peroxidase KatG (EC 1.11.1.21)",
"fig|83332.12.peg.2133","Rv1909c","PATRIC.83332.12.NC_000962.CDS.2156149.2156541.rev",2156149,2156541,393,"-","FIG00002441","PLF_1763_00061931","NP_216425.1",130,"furA","Transcriptional regulator, Fur family",
"fig|83332.12.peg.2134","Rv1910c","PATRIC.83332.12.NC_000962.CDS.2156706.2157311.rev",2156706,2157311,606,"-","FIG00822182","PLF_1763_00003445","NP_216426.1",201,,"Phosphatidylethanolamine-binding protein",
"fig|83332.12.peg.209","Rv0185","PATRIC.83332.12.NC_000962.CDS.215715.216224.fwd",215715,216224,510,"+","FIG00820102","PLF_1763_00016446","NP_214699.1",169,,"hypothetical protein Rv0185",
"fig|83332.12.peg.2135","Rv1911c","PATRIC.83332.12.NC_000962.CDS.2157382.2157876.rev",2157382,2157876,495,"-","FIG00822182","PLF_1763_00152316","NP_216427.1",164,"lppC","Phosphatidylethanolamine-binding protein",
"fig|83332.12.peg.2136","Rv1912c","PATRIC.83332.12.NC_000962.CDS.2158087.2159091.rev",2158087,2159091,1005,"-","FIG01332653","PLF_1763_00000315","NP_216428.1",334,"fadB5","Oxidoreductase FadB5",
"fig|83332.12.peg.2137","Rv1913","PATRIC.83332.12.NC_000962.CDS.2159191.2159943.fwd",2159191,2159943,753,"+","FIG00001596","PLF_1763_00044776","NP_216429.1",250,,"MBL-fold metallo-hydrolase superfamily",
"fig|83332.12.peg.2138","Rv1914c","PATRIC.83332.12.NC_000962.CDS.2159921.2160328.rev",2159921,2160328,408,"-","FIG00820306","PLF_1763_00049073","NP_216430.1",135,,"hypothetical protein",
"fig|83332.12.peg.2139","Rv1915","PATRIC.83332.12.NC_000962.CDS.2160463.2161566.fwd",2160463,2161566,1104,"+","FIG00113839","PLF_1763_00120928","NP_216431.1",367,"aceAa","Isocitrate lyase (EC 4.1.3.1), group III, Mycobacterial type ICL2","GO:0004451|isocitrate lyase activity"
"fig|83332.12.peg.2140","Rv1916","PATRIC.83332.12.NC_000962.CDS.2161536.2162762.fwd",2161536,2162762,1227,"+","FIG00113839","PLF_1763_00120928","NP_216432.1",408,"aceAb","Isocitrate lyase (EC 4.1.3.1), group III, Mycobacterial type ICL2","GO:0004451|isocitrate lyase activity"
"fig|83332.12.peg.210","Rv0186","PATRIC.83332.12.NC_000962.CDS.216269.218344.fwd",216269,218344,2076,"+","FIG00001469","PLF_1763_00001579","NP_214700.1",691,"bglS","beta-glucosidase (EC 3.2.1.21)","GO:0008422|beta-glucosidase activity"
"fig|83332.12.peg.2141","Rv1917c","PATRIC.83332.12.NC_000962.CDS.2162932.2167344.rev",2162932,2167344,4413,"-","FIG00013075","PLF_1763_00000094","YP_177655.1",1470,"PPE34","PPE family protein, MPTR subgroup => PPE34",
"fig|83332.12.peg.22","Rv0018c","PATRIC.83332.12.NC_000962.CDS.21637.23172.rev",21637,23172,1536,"-","FIG00741411","PLF_1763_00001413","NP_214532.1",511,"ppp","Serine/threonine phosphatase PPP (EC 3.1.3.16)",
"fig|83332.12.peg.2142",,"PATRIC.83332.12.NC_000962.CDS.2167310.2167432.fwd",2167310,2167432,123,"+",,"PLF_1763_00003390",,40,,"hypothetical protein",
"fig|83332.12.peg.2143","Rv1918c","PATRIC.83332.12.NC_000962.CDS.2167649.2170600.rev",2167649,2170600,2952,"-","FIG00013075","PLF_1763_00000187","YP_177850.1",983,"PPE35","PPE family protein, MPTR subgroup => PPE35",
"fig|83332.12.peg.2144","Rv1919c","PATRIC.83332.12.NC_000962.CDS.2171061.2171453.rev",2171061,2171453,393,"-","FIG00823280","PLF_1763_00002267","NP_216435.1",130,,"hypothetical protein",
"fig|83332.12.peg.2145",,"PATRIC.83332.12.NC_000962.CDS.2171413.2171550.fwd",2171413,2171550,138,"+","FIG01546123","PLF_1763_00003886",,45,,"hypothetical protein",
"fig|83332.12.peg.2146","Rv1920","PATRIC.83332.12.NC_000962.CDS.2171623.2172486.fwd",2171623,2172486,864,"+","FIG00938093","PLF_1763_00003850","NP_216436.1",287,,"Acyltransferase family protein",
"fig|83332.12.peg.2147","Rv1921c","PATRIC.83332.12.NC_000962.CDS.2172524.2173795.rev",2172524,2173795,1272,"-","FIG01318136","PLF_1763_00003279","NP_216437.1",423,"lppF","Lipoprotein LppF",
"fig|83332.12.peg.2148","Rv1922","PATRIC.83332.12.NC_000962.CDS.2174100.2175182.fwd",2174100,2175182,1083,"+","FIG00561498","PLF_1763_00013594","NP_216438.1",360,,"Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily",
"fig|83332.12.peg.2149","Rv1923","PATRIC.83332.12.NC_000962.CDS.2175284.2176513.fwd",2175284,2176513,1230,"+","FIG01326298","PLF_1763_00007248","NP_216439.1",409,"lipD","Putative esterase",
