"Rv_tag","Mb_tag","category","AA overlap","gene","Deleted in","Gene/RD region","Mb length","RD region","Rv length","Annotation"
"Rv1335","Mb1370","intermediate metabolism and respiration","93 aa overlap","cyso",,," 93 aa",," 93 aa ","sulfur carrier protein cyso"
"Rv1336","Mb1371","intermediate metabolism and respiration","323 aa overlap","cysM",,," 323 aa",," 323 aa ","cysteine synthase b cysm csase b o-phosphoserine sulfhydrylase b o-phosphoserine thiol-lyase b"
"Rv1337","Mb1372","cell wall and cell processes","240 aa overlap",,,," 240 aa",," 240 aa ","probable integral membrane protein"
"Rv1338","Mb1373","cell wall and cell processes","271 aa overlap","murI",,," 271 aa",," 271 aa ","probable glutamate racemase muri"
"Rv1339","Mb1374","conserved hypothetical protein","273 aa overlap",,,," 273 aa",," 273 aa ","conserved protein"
"Rv1341","Mb1376","conserved hypothetical protein","204 aa overlap",,,," 204 aa",," 204 aa ","conserved protein"
"Rv1342c","Mb1377c","cell wall and cell processes","120 aa overlap",,,," 120 aa",," 120 aa ","conserved membrane protein"
"Rv1344","Mb1379","lipid metabolism","106 aa overlap","mbtl",,," 106 aa",," 106 aa ","acyl carrier protein acp mbtl"
"Rv1345","Mb1380","lipid metabolism","521 aa overlap","mbtm",,," 521 aa",," 521 aa ","probable fatty acyl-amp ligase mbtm"
"Rv1346","Mb1381","lipid metabolism","386 aa overlap","mbtn",,," 386 aa",," 386 aa ","acyl-coa dehydrogenase mbtn"
"Rv1347c","Mb1382c","lipid metabolism","210 aa overlap","mbtk",,," 210 aa",," 210 aa ","lysine n-acetyltransferase mbtk"
"Rv1348","Mb1383","cell wall and cell processes","859 aa overlap","irta",,," 859 aa",," 859 aa ","iron-regulated transporter irta"
"Rv1349","Mb1384","cell wall and cell processes","579 aa overlap","irtb",,," 579 aa",," 579 aa ","iron-regulated transporter irtb"
"Rv1350","Mb1385","lipid metabolism","247 aa overlap","fabG2",,," 247 aa",," 247 aa ","probable 3-oxoacyl-[acyl-carrier protein] reductase fabg2 3-ketoacyl-acyl carrier protein reductase"
"Rv1351","Mb1386","conserved hypothetical protein","109 aa overlap",,,," 109 aa",," 109 aa ","hypothetical protein"
"Rv1352","Mb1387","conserved hypothetical protein","123 aa overlap",,,," 123 aa",," 123 aa ","conserved protein"
"Rv1353c","Mb1388c","regulatory proteins","261 aa overlap",,,," 261 aa",," 261 aa ","probable transcriptional regulatory protein"
"Rv1354c","Mb1389c","conserved hypothetical protein","623 aa overlap",,,," 623 aa",," 623 aa ","conserved hypothetical protein"
"Rv1356c","Mb1391c","conserved hypothetical protein","263 aa overlap",,,," 263 aa",," 263 aa ","hypothetical protein"
"Rv1357c","Mb1392c","conserved hypothetical protein","307 aa overlap",,,," 307 aa",," 307 aa ","conserved hypothetical protein"
"Rv1360","Mb1395","intermediate metabolism and respiration","340 aa overlap",,,," 340 aa",," 340 aa ","probable oxidoreductase"
"Rv1366","Mb1401","conserved hypothetical protein","273 aa overlap",,,," 273 aa",," 273 aa ","hypothetical protein"
"Rv1366A","Mb1401A","conserved hypothetical protein","86 aa overlap",,,," 86 aa",," 86 aa ","conserved protein"
"Rv1368","Mb1403","cell wall and cell processes","261 aa overlap","lprF",,," 261 aa",," 261 aa ","probable conserved lipoprotein lprf"
"Rv1372","Mb1406","conserved hypothetical protein","393 aa overlap",,,," 393 aa",," 393 aa ","conserved hypothetical protein"
"Rv1377c","Mb1412c","intermediate metabolism and respiration","212 aa overlap",,,," 212 aa",," 212 aa ","putative transferase"
"Rv1379","Mb1414","regulatory proteins","193 aa overlap","pyrR",,," 193 aa",," 193 aa ","probable pyrimidine operon regulatory protein pyrr"
"Rv1380","Mb1415","intermediate metabolism and respiration","319 aa overlap","pyrB",,," 319 aa",," 319 aa ","probable aspartate carbamoyltransferase pyrb atcase aspartate transcarbamylase"
"Rv1382","Mb1417","cell wall and cell processes","165 aa overlap",,,," 165 aa",," 165 aa ","probable export or membrane protein"
"Rv1385","Mb1420","intermediate metabolism and respiration","274 aa overlap","pyrF",,," 274 aa",," 274 aa ","probable orotidine 5'-phosphate decarboxylase pyrf omp decarboxylase ompdecase"
"Rv1386","Mb1421","PE/PPE","102 aa overlap","PE15",,," 102 aa",," 102 aa ","pe family protein pe15"
"Rv1388","Mb1423","information pathways","190 aa overlap","mihF",,," 190 aa",," 190 aa ","putative integration host factor mihf"
"Rv1389","Mb1424","intermediate metabolism and respiration","208 aa overlap","gmk",,," 208 aa",," 208 aa ","probable guanylate kinase gmk"
"Rv1390","Mb1425","information pathways","110 aa overlap","rpoZ",,," 110 aa",," 110 aa ","probable dna-directed rna polymerase omega chain rpoz transcriptase omega chain rna polymerase omega subunit"
"Rv1391","Mb1426","intermediate metabolism and respiration","418 aa overlap","dfp",,," 418 aa",," 418 aa ","probable dna/pantothenate metabolism flavoprotein homolog dfp"
"Rv1393c","Mb1428c","intermediate metabolism and respiration","492 aa overlap",,,," 492 aa",," 492 aa ","probable monoxygenase"
"Rv1395","Mb1430","regulatory proteins","344 aa overlap",,,," 344 aa",," 344 aa ","transcriptional regulatory protein"
"Rv1398c","Mb1433c","virulence, detoxification,adaptation","85 aa overlap","vapb10",,," 85 aa",," 85 aa ","possible antitoxin vapb10"
"Rv1399c","Mb1434c","intermediate metabolism and respiration","319 aa overlap","nlhh",,," 319 aa",," 319 aa ","probable non lipolytic carboxylesterase nlhh"
"Rv1400c","Mb1435c","intermediate metabolism and respiration","320 aa overlap","lipI",,," 320 aa",," 320 aa ","probable lipase liph"
"Rv1401","Mb1436","cell wall and cell processes","200 aa overlap",,,," 200 aa",," 200 aa ","possible membrane protein"
"Rv1402","Mb1437","information pathways","655 aa overlap","priA",,," 655 aa",," 655 aa ","putative primosomal protein n' pria replication factor y"
"Rv1403c","Mb1438c","intermediate metabolism and respiration","274 aa overlap",,,," 274 aa",," 274 aa ","putative methyltransferase"
"Rv1404","Mb1439","regulatory proteins","160 aa overlap",,,," 160 aa",," 160 aa ","probable transcriptional regulatory protein"
"Rv1405c","Mb1440c","intermediate metabolism and respiration","274 aa overlap",,,," 274 aa",," 274 aa ","putative methyltransferase"
"Rv1406","Mb1441","information pathways","312 aa overlap","fmt",,," 312 aa",," 312 aa ","probable methionyl-trna formyltransferase fmt"
"Rv1408","Mb1443","intermediate metabolism and respiration","232 aa overlap","rpe",,," 232 aa",," 232 aa ","probable ribulose-phosphate 3-epimerase rpe ppe r5p3e pentose-5-phosphate 3-epimerase"
"Rv1410c","Mb1445c","cell wall and cell processes","518 aa overlap",,,," 518 aa",," 518 aa ","aminoglycosides/tetracycline-transport integral membrane protein"
"Rv1411c","Mb1446c","cell wall and cell processes","236 aa overlap","lprG",,," 236 aa",," 236 aa ","conserved lipoprotein lprg"
"Rv1412","Mb1447","intermediate metabolism and respiration","201 aa overlap","ribC",,," 201 aa",," 201 aa ","probable riboflavin synthase alpha chain ribc ribe"
"Rv1413","Mb1448","conserved hypothetical protein","171 aa overlap",,,," 171 aa",," 171 aa ","conserved hypothetical protein"
"Rv1414","Mb1449","conserved hypothetical protein","133 aa overlap",,,," 133 aa",," 133 aa ","conserved hypothetical protein"
"Rv1415","Mb1450","intermediate metabolism and respiration","425 aa overlap","ribA2",,," 425 aa",," 425 aa ","probable riboflavin biosynthesis protein riba2 : gtp cyclohydrolase ii b 3c4-dihydroxy-2-butanone 4-phosphate synthase dhbp synthase"
"Rv1416","Mb1451","intermediate metabolism and respiration","154 aa overlap","ribH",,," 154 aa",," 154 aa ","probable riboflavin synthase beta chain ribh 6c7-dimethyl-8-ribityllumazine synthase dmrl synthase lumazine synthase"
"Rv1417","Mb1452","cell wall and cell processes","154 aa overlap",,,," 154 aa",," 154 aa ","possible conserved membrane protein"
"Rv1418","Mb1453","cell wall and cell processes","228 aa overlap","lprH",,," 228 aa",," 228 aa ","probable lipoprotein lprh"
"Rv1419","Mb1454","conserved hypothetical protein","157 aa overlap",,,," 157 aa",," 157 aa ","unknown protein"
"Rv1420","Mb1455","information pathways","646 aa overlap","uvrC",,," 646 aa",," 646 aa ","probable excinuclease abc subunit c-nuclease uvrc"
"Rv1421","Mb1456","conserved hypothetical protein","301 aa overlap",,,," 301 aa",," 301 aa ","conserved protein"
"Rv1423","Mb1458","regulatory proteins","325 aa overlap","whiA",,," 325 aa",," 325 aa ","probable transcriptional regulatory protein whia"
"Rv1424c","Mb1459c","cell wall and cell processes","253 aa overlap",,,," 253 aa",," 253 aa ","possible membrane protein"
"Rv1426c","Mb1461c","intermediate metabolism and respiration","420 aa overlap","lipO",,," 420 aa",," 420 aa ","probable esterase lipo"
"Rv1427c","Mb1462c","lipid metabolism","535 aa overlap","fadD12",,," 535 aa",," 535 aa ","possible long-chain-fatty-acid--coa ligase fadd12 fatty-acid-coa synthetase fatty-acid-coa synthase"
"Rv1428c","Mb1463c","conserved hypothetical protein","275 aa overlap",,,," 275 aa",," 275 aa ","conserved hypothetical protein"
"Rv1429","Mb1464","conserved hypothetical protein","422 aa overlap",,,," 422 aa",," 422 aa ","conserved protein"
"Rv1430","Mb1465","PE/PPE","528 aa overlap","PE16",,," 528 aa",," 528 aa ","pe family protein pe16"
"Rv1432","Mb1467","intermediate metabolism and respiration","473 aa overlap",,,," 473 aa",," 473 aa ","probable dehydrogenase"
"Rv1433","Mb1468","cell wall and cell processes","271 aa overlap",,,," 271 aa",," 271 aa ","possible conserved exported protein"
"Rv1434","Mb1469","conserved hypothetical protein","45 aa overlap",,,," 45 aa",," 45 aa ","hypothetical protein"
"Rv1436","Mb1471","intermediate metabolism and respiration","339 aa overlap","gap",,," 339 aa",," 339 aa ","probable glyceraldehyde 3-phosphate dehydrogenase gap gapdh"
"Rv1437","Mb1472","intermediate metabolism and respiration","412 aa overlap","pgk",,," 412 aa",," 412 aa ","probable phosphoglycerate kinase pgk"
"Rv1438","Mb1473","intermediate metabolism and respiration","261 aa overlap","tpi",,," 261 aa",," 261 aa ","probable triosephosphate isomerase tpi tim"
"Rv1439c","Mb1474c","conserved hypothetical protein","141 aa overlap",,,," 141 aa",," 141 aa ","unknown protein"
"Rv1440","Mb1475","cell wall and cell processes","77 aa overlap","secG",,," 77 aa",," 77 aa ","probable protein-export membrane protein translocase subunit secg"
"Rv1442","Mb1477","intermediate metabolism and respiration","766 aa overlap","bisC",,," 766 aa",," 766 aa ","probable biotin sulfoxide reductase bisc bds reductase bso reductase"
"Rv1443c","Mb1478c","conserved hypothetical protein","161 aa overlap",,,," 161 aa",," 161 aa ","unknown protein"
"Rv1444c","Mb1479c","conserved hypothetical protein","136 aa overlap",,,," 136 aa",," 136 aa ","unknown protein"
"Rv1445c","Mb1480c","intermediate metabolism and respiration","247 aa overlap","devB",,," 247 aa",," 247 aa ","probable 6-phosphogluconolactonase devb 6pgl"
"Rv1447c","Mb1482c","intermediate metabolism and respiration","514 aa overlap","zwf2",,," 514 aa",," 514 aa ","probable glucose-6-phosphate 1-dehydrogenase zwf2 g6pd"
"Rv1454c","Mb1489c","intermediate metabolism and respiration","328 aa overlap","qor",,," 328 aa",," 328 aa ","probable quinone reductase qor nadph:quinone reductase zeta-crystallin homolog protein"
"Rv1455","Mb1490","conserved hypothetical protein","287 aa overlap",,,," 287 aa",," 287 aa ","conserved protein"
"Rv1456c","Mb1491c","cell wall and cell processes","310 aa overlap",,,," 310 aa",," 310 aa ","probable unidentified antibiotic-transport integral membrane abc transporter"
"Rv1457c","Mb1492c","cell wall and cell processes","261 aa overlap",,,," 261 aa",," 261 aa ","probable unidentified antibiotic-transport integral membrane abc transporter"
"Rv1458c","Mb1493c","cell wall and cell processes","313 aa overlap",,,," 313 aa",," 313 aa ","probable unidentified antibiotic-transport atp-binding protein abc transporter"
"Rv1461","Mb1496","conserved hypothetical protein","846 aa overlap",,,," 846 aa",," 846 aa ","conserved protein"
"Rv1463","Mb1498","cell wall and cell processes","266 aa overlap",,,," 266 aa",," 266 aa ","probable conserved atp-binding protein abc transporter"
"Rv1464","Mb1499","intermediate metabolism and respiration","417 aa overlap","csd",,," 417 aa",," 417 aa ","probable cysteine desulfurase csd"
"Rv1465","Mb1500","intermediate metabolism and respiration","162 aa overlap",,,," 162 aa",," 162 aa ","possible nitrogen fixation related protein"
"Rv1466","Mb1501","conserved hypothetical protein","115 aa overlap",,,," 115 aa",," 115 aa ","conserved protein"
"Rv1467c","Mb1502c","lipid metabolism","609 aa overlap","fadE15",,," 609 aa",," 609 aa ","probable acyl-coa dehydrogenase fade15"
"Rv1468c","Mb1503c","PE/PPE","370 aa overlap","PE_PGRS29",,," 370 aa",," 370 aa ","pe-pgrs family protein pe_pgrs29"
"Rv1469","Mb1504","cell wall and cell processes","657 aa overlap","ctpD",,," 657 aa",," 657 aa ","probable cation transporter p-type atpase d ctpd"
"Rv1470","Mb1505","intermediate metabolism and respiration","124 aa overlap","trxA",,," 124 aa",," 124 aa ","probable thioredoxin trxa"
"Rv1471","Mb1506","intermediate metabolism and respiration","123 aa overlap","trxB1",,," 123 aa",," 123 aa ","probable thioredoxin trxb1"
"Rv1473","Mb1508","cell wall and cell processes","542 aa overlap",,,," 542 aa",," 542 aa ","probable macrolide-transport atp-binding protein abc transporter"
"Rv1474c","Mb1510c","regulatory proteins","187 aa overlap",,,," 187 aa",," 187 aa ","probable transcriptional regulatory protein"
"Rv1475c","Mb1511c","intermediate metabolism and respiration","943 aa overlap","acn",,," 943 aa",," 943 aa ","probable iron-regulated aconitate hydratase acn citrate hydro-lyase aconitase"
"Rv1476","Mb1512","cell wall and cell processes","186 aa overlap",,,," 186 aa",," 186 aa ","possible membrane protein"
"Rv1477","Mb1513","virulence, detoxification,adaptation","472 aa overlap","ripa",,," 472 aa",," 472 aa ","peptidoglycan hydrolase"
"Rv1478","Mb1514","virulence, detoxification,adaptation","241 aa overlap",,,," 241 aa",," 241 aa ","possible invasion protein"
"Rv1479","Mb1515","regulatory proteins","377 aa overlap","moxR1",,," 377 aa",," 377 aa ","probable transcriptional regulatory protein moxr1"
"Rv1480","Mb1516","conserved hypothetical protein","317 aa overlap",,,," 317 aa",," 317 aa ","conserved protein"
"Rv1481","Mb1517","cell wall and cell processes","335 aa overlap",,,," 335 aa",," 335 aa ","probable membrane protein"
"Rv1482c","Mb1518c","conserved hypothetical protein","280 aa overlap",,,," 280 aa",," 280 aa ","conserved hypothetical protein"
"Rv1483","Mb1519","lipid metabolism","247 aa overlap","fabG1",,," 247 aa",," 247 aa ","3-oxoacyl-[acyl-carrier protein] reductase fabg1 3-ketoacyl-acyl carrier protein reductase mycolic acid biosynthesis a protein"
"Rv1484","Mb1520","lipid metabolism","269 aa overlap","inhA",,," 269 aa",," 269 aa ","nadh-dependent enoyl-[acyl-carrier-protein] reductase inha nadh-dependent enoyl-acp reductase"
"Rv1485","Mb1521","intermediate metabolism and respiration","344 aa overlap","hemZ",,," 344 aa",," 344 aa ","ferrochelatase hemz protoheme ferro-lyase heme synthetase"
"Rv1487","Mb1523","cell wall and cell processes","144 aa overlap",,,," 144 aa",," 144 aa ","conserved membrane protein"
"Rv1488","Mb1524","cell wall and cell processes","381 aa overlap",,,," 381 aa",," 381 aa ","possible exported conserved protein"
"Rv1489","Mb1525","conserved hypothetical protein","118 aa overlap",,,," 118 aa",," 118 aa ","conserved protein"
"Rv1489A","Mb1526","conserved hypothetical protein","76 aa overlap",,,," 76 aa",," 76 aa ","conserved hypothetical protein"
"Rv1490","Mb1527","cell wall and cell processes","435 aa overlap",,,," 435 aa",," 435 aa ","probable membrane protein"
"Rv1491c","Mb1528c","cell wall and cell processes","252 aa overlap",,,," 252 aa",," 252 aa ","conserved membrane protein"
"Rv1492","Mb1529","lipid metabolism","615 aa overlap","mutA",,," 615 aa",," 615 aa ","probable methylmalonyl-coa mutase small subunit muta mcm"
"Rv1493","Mb1530","lipid metabolism","750 aa overlap","mutB",,," 750 aa",," 750 aa ","probable methylmalonyl-coa mutase large subunit mutb mcm"
"Rv1494","Mb1531","virulence, detoxification,adaptation","100 aa overlap","maze4",,," 100 aa",," 100 aa ","possible antitoxin maze4"
"Rv1495","Mb1532","virulence, detoxification,adaptation","105 aa overlap","mazf4",,," 105 aa",," 105 aa ","possible toxin mazf4"
"Rv1496","Mb1533","cell wall and cell processes","334 aa overlap",,,," 334 aa",," 334 aa ","possible transport system kinase"
"Rv1497","Mb1534","intermediate metabolism and respiration","429 aa overlap","lipL",,," 429 aa",," 429 aa ","probable esterase lipl"
"Rv1498c","Mb1535c","intermediate metabolism and respiration","205 aa overlap",,,," 205 aa",," 205 aa ","probable methyltransferase"
"Rv1499","Mb1537","conserved hypothetical protein","132 aa overlap",,,," 132 aa",," 132 aa ","hypothetical protein"
"Rv1500","Mb1538","intermediate metabolism and respiration","342 aa overlap",,,," 342 aa",," 342 aa ","probable glycosyltransferase"
"Rv1501","Mb1539","conserved hypothetical protein","273 aa overlap",,,," 273 aa",," 273 aa ","conserved hypothetical protein"
"Rv1505c","Mb1543c","conserved hypothetical protein","221 aa overlap",,,," 221 aa",," 221 aa ","conserved hypothetical protein"
"Rv1519","Mb1546","conserved hypothetical protein","89 aa overlap",,,," 89 aa",," 89 aa ","conserved hypothetical protein"
"Rv1520","Mb1547","intermediate metabolism and respiration","346 aa overlap",,,," 346 aa",," 346 aa ","probable sugar transferase"
"Rv1523","Mb1550","intermediate metabolism and respiration","347 aa overlap",,,," 347 aa",," 347 aa ","probable methyltransferase"
"Rv1524","Mb1551","intermediate metabolism and respiration","414 aa overlap",,,," 414 aa",," 414 aa ","probable glycosyltransferase"
"Rv1525","Mb1552","conserved hypothetical protein","261 aa overlap","wbbL2",,," 261 aa",," 261 aa ","possible rhamnosyl transferase wbbl2"
"Rv1526c","Mb1553c","intermediate metabolism and respiration","426 aa overlap",,,," 426 aa",," 426 aa ","probable glycosyltransferase"
"Rv1528c","Mb1555c","lipid metabolism","165 aa overlap","papA4",,," 165 aa",," 165 aa ","probable conserved polyketide synthase associated protein papa4"
"Rv1529","Mb1556","lipid metabolism","584 aa overlap","fadD24",,," 584 aa",," 584 aa ","probable fatty-acid-amp ligase fadd24 fatty-acid-amp synthetase fatty-acid-amp synthase"
"Rv1530","Mb1557","intermediate metabolism and respiration","367 aa overlap","adh",,," 367 aa",," 367 aa ","probable alcohol dehydrogenase adh"
"Rv1531","Mb1558","conserved hypothetical protein","188 aa overlap",,,," 188 aa",," 188 aa ","conserved protein"
"Rv1532c","Mb1559c","conserved hypothetical protein","144 aa overlap",,,," 144 aa",," 144 aa ","conserved hypothetical protein"
"Rv1533","Mb1560","conserved hypothetical protein","375 aa overlap",,,," 375 aa",," 375 aa ","conserved protein"
"Rv1534","Mb1561","regulatory proteins","225 aa overlap",,,," 225 aa",," 225 aa ","probable transcriptional regulator"
"Rv1535","Mb1562","conserved hypothetical protein","78 aa overlap",,,," 78 aa",," 78 aa ","unknown protein"
"Rv1537","Mb1564","information pathways","463 aa overlap","dinX",,," 463 aa",," 463 aa ","probable dna polymerase iv dinx pol iv 1 dna nucleotidyltransferase dna-directed"
"Rv1538c","Mb1565c","intermediate metabolism and respiration","326 aa overlap","ansA",,," 326 aa",," 326 aa ","probable l-aparaginase ansa"
"Rv1539","Mb1566","cell wall and cell processes","202 aa overlap","lspA",,," 202 aa",," 202 aa ","probable lipoprotein signal peptidase lspa"
"Rv1540","Mb1567","conserved hypothetical protein","308 aa overlap",,,," 308 aa",," 308 aa ","conserved hypothetical protein member of yabo/ycec/yfii family"
"Rv1541c","Mb1568c","cell wall and cell processes","197 aa overlap","lprI",,," 197 aa",," 197 aa ","possible lipoprotein lpri"
"Rv1542c","Mb1569c","intermediate metabolism and respiration","136 aa overlap","glbN",,," 136 aa",," 136 aa ","hemoglobin glbn"
"Rv1543","Mb1570","lipid metabolism","341 aa overlap",,,," 341 aa",," 341 aa ","possible fatty acyl-coa reductase"
"Rv1544","Mb1571","lipid metabolism","267 aa overlap",,,," 267 aa",," 267 aa ","possible ketoacyl reductase"
"Rv1545","Mb1572","conserved hypothetical protein","75 aa overlap",,,," 75 aa",," 75 aa ","hypothetical protein"
"Rv1546","Mb1573","conserved hypothetical protein","143 aa overlap",,,," 143 aa",," 143 aa ","conserved protein"
"Rv1547","Mb1574","information pathways","1184 aa overlap","dnaE1",,," 1184 aa",," 1184 aa ","probable dna polymerase iii alpha chain dnae1 dna nucleotidyltransferase"
"Rv1551","Mb1577","lipid metabolism","621 aa overlap","plsB1",,," 621 aa",," 621 aa ","possible acyltransferase plsb1"
"Rv1552","Mb1578","intermediate metabolism and respiration","583 aa overlap","frdA",,," 583 aa",," 583 aa ","probable fumarate reductase [flavoprotein subunit] frda fumarate dehydrogenase fumaric hydrogenase"
"Rv1555","Mb1580","intermediate metabolism and respiration","125 aa overlap","frdD",,," 125 aa",," 125 aa ","probable fumarate reductase [membrane anchor subunit] frdd fumarate dehydrogenase fumaric hydrogenase"
"Rv1556","Mb1581","regulatory proteins","202 aa overlap",,,," 202 aa",," 202 aa ","possible regulatory protein"
"Rv1558","Mb1584","conserved hypothetical protein","148 aa overlap",,,," 148 aa",," 148 aa ","conserved protein"
"Rv1559","Mb1585","intermediate metabolism and respiration","429 aa overlap","ilvA",,," 429 aa",," 429 aa ","probable threonine dehydratase ilva"
"Rv1560","Mb1586","virulence, detoxification,adaptation","72 aa overlap","vapb11",,," 72 aa",," 72 aa ","possible antitoxin vapb11"
"Rv1561","Mb1587","virulence, detoxification,adaptation","134 aa overlap","vapc11",,," 134 aa",," 134 aa ","possible toxin vapc11"
"Rv1564c","Mb1591c","virulence, detoxification,adaptation","721 aa overlap","treX",,," 721 aa",," 721 aa ","probable maltooligosyltrehalose synthase trex"
"Rv1565c","Mb1592c","cell wall and cell processes","729 aa overlap",,,," 729 aa",," 729 aa ","conserved hypothetical membrane protein"
"Rv1566c","Mb1593c","virulence, detoxification,adaptation","230 aa overlap",,,," 230 aa",," 230 aa ","possible inv protein"
"Rv1567c","Mb1594c","cell wall and cell processes","94 aa overlap",,,," 94 aa",," 94 aa ","probable hypothetical membrane protein"
"Rv1568","Mb1595","intermediate metabolism and respiration","437 aa overlap","bioA",,," 437 aa",," 437 aa ","adenosylmethionine-8-amino-7-oxononanoate aminotransferase bioa"
"Rv1569","Mb1596","intermediate metabolism and respiration","386 aa overlap","bioF1",,," 386 aa",," 386 aa ","probable 8-amino-7-oxononanoate synthase biof1 aons 8-amino-7-ketopelargonate synthase 7-keto-8-amino-pelargonic acid synthetase 7-kap synthetase l-alanine--pimelyl coa ligase"
"Rv1571","Mb1598","conserved hypothetical protein","169 aa overlap",,,," 169 aa",," 169 aa ","conserved protein"
"Rv1573","Mb1599","insertion seqs and phages","136 aa overlap",,,," 136 aa",," 136 aa ","probable phirv1 phage protein"
"Rv1574","Mb1600","insertion seqs and phages","103 aa overlap",,,," 103 aa",," 103 aa ","probable phirv1 phage related protein"
"Rv1577c","Mb1603c","insertion seqs and phages","170 aa overlap",,,," 170 aa",," 170 aa ","probable phirv1 phage protein"
"Rv1578c","Mb1604c","insertion seqs and phages","156 aa overlap",,,," 156 aa",," 156 aa ","probable phirv1 phage protein"
"Rv1579c","Mb1605c","insertion seqs and phages","104 aa overlap",,,," 104 aa",," 104 aa ","probable phirv1 phage protein"
"Rv1580c","Mb1606c","insertion seqs and phages","90 aa overlap",,,," 90 aa",," 90 aa ","probable phirv1 phage protein"
"Rv1581c","Mb1607c","insertion seqs and phages","131 aa overlap",,,," 131 aa",," 131 aa ","probable phirv1 phage protein"
"Rv1584c","Mb1610c","insertion seqs and phages","73 aa overlap",,,," 73 aa",," 73 aa ","possible phirv1 phage protein"
"Rv1585c","Mb1611c","insertion seqs and phages","171 aa overlap",,,," 171 aa",," 171 aa ","possible phage phirv1 protein"
"Rv1586c","Mb1612c","insertion seqs and phages","469 aa overlap",,,," 469 aa",," 469 aa ","probable phirv1 integrase"
"Rv1587c","Mb1613c","insertion seqs and phages","217 aa overlap",,,," 333 aa",," 217 aa ","partial rep13e12 repeat protein"
"Rv1589","Mb1615","intermediate metabolism and respiration","349 aa overlap","bioB",,," 349 aa",," 349 aa ","probable biotin synthetase biob"
"Rv1590","Mb1616","conserved hypothetical protein","79 aa overlap",,,," 79 aa",," 79 aa ","conserved hypothetical protein"
"Rv1591","Mb1617","cell wall and cell processes","221 aa overlap",,,," 221 aa",," 221 aa ","probable transmembrane protein"
"Rv1593c","Mb1619c","conserved hypothetical protein","236 aa overlap",,,," 236 aa",," 236 aa ","conserved protein"
"Rv1594","Mb1620","intermediate metabolism and respiration","349 aa overlap","nadA",,," 349 aa",," 349 aa ","probable quinolinate synthetase nada"
"Rv1595","Mb1621","intermediate metabolism and respiration","527 aa overlap","nadB",,," 527 aa",," 527 aa ","probable l-aspartate oxidase nadb"
"Rv1598c","Mb1624c","conserved hypothetical protein","136 aa overlap",,,," 136 aa",," 136 aa ","conserved protein"
"Rv1599","Mb1625","intermediate metabolism and respiration","438 aa overlap","hisD",,," 438 aa",," 438 aa ","probable histidinol dehydrogenase hisd hdh"
"Rv1600","Mb1626","intermediate metabolism and respiration","380 aa overlap","hisC1",,," 380 aa",," 380 aa ","probable histidinol-phosphate aminotransferase hisc1"
"Rv1601","Mb1627","intermediate metabolism and respiration","210 aa overlap","hisB",,," 210 aa",," 210 aa ","probable imidazole glycerol-phosphate dehydratase hisb"
"Rv1603","Mb1629","intermediate metabolism and respiration","245 aa overlap","hisA",,," 245 aa",," 245 aa ","probable phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase hisa"
"Rv1606","Mb1632","intermediate metabolism and respiration","115 aa overlap","hisI",,," 115 aa",," 115 aa ","probable phosphoribosyl-amp 1c6 cyclohydrolase hisi"
"Rv1607","Mb1633","cell wall and cell processes","360 aa overlap","chaA",,," 360 aa",," 360 aa ","probable ionic transporter integral membrane protein chaa"
"Rv1608c","Mb1634c","virulence, detoxification,adaptation","154 aa overlap","bcpB",,," 154 aa",," 154 aa ","probable peroxidoxin bcpb"
"Rv1609","Mb1635","intermediate metabolism and respiration","516 aa overlap","trpE",,," 516 aa",," 516 aa ","anthranilate synthase component i trpe glutamine amidotransferase"
"Rv1610","Mb1636","cell wall and cell processes","235 aa overlap",,,," 235 aa",," 235 aa ","possible conserved membrane protein"
"Rv1611","Mb1637","intermediate metabolism and respiration","272 aa overlap","trpC",,," 272 aa",," 272 aa ","probable indole-3-glycerol phosphate synthase trpc"
"Rv1612","Mb1638","intermediate metabolism and respiration","410 aa overlap","trpB",,," 410 aa",," 410 aa ","tryptophan synthasec beta subunit trpb"
"Rv1613","Mb1639","intermediate metabolism and respiration","270 aa overlap","trpA",,," 270 aa",," 270 aa ","probable tryptophan synthasec alpha subunit trpa"
"Rv1614","Mb1640","cell wall and cell processes","468 aa overlap","lgt",,," 468 aa",," 468 aa ","possible prolipoprotein diacylglyceryl transferases lgt"
"Rv1615","Mb1641","cell wall and cell processes","146 aa overlap",,,," 146 aa",," 146 aa ","probable membrane protein"
"Rv1616","Mb1642","cell wall and cell processes","132 aa overlap",,,," 132 aa",," 132 aa ","conserved membrane protein"
"Rv1619","Mb1645","cell wall and cell processes","484 aa overlap",,,," 484 aa",," 484 aa ","conserved membrane protein"
"Rv1620c","Mb1646c","intermediate metabolism and respiration","576 aa overlap","cydC",,," 576 aa",," 576 aa ","probable 'component linked with the assembly of cytochrome' transport transmembrane atp-binding protein abc transporter cydc"
"Rv1621c","Mb1647c","intermediate metabolism and respiration","527 aa overlap","cydD",,," 527 aa",," 527 aa ","probable 'component linked with the assembly of cytochrome' transport transmembrane atp-binding protein abc transporter cydd"
"Rv1622c","Mb1648c","intermediate metabolism and respiration","346 aa overlap","cydB",,," 346 aa",," 346 aa ","probable integral membrane cytochrome d ubiquinol oxidase subunit ii cydb cytochrome bd-i oxidase subunit ii"
