,id,AssemblyAccession,BioSampleAccn,BioSampleId,SubmitterOrganization,GenbankAccession,strain,host,collection_date,geo_loc_name,sample_type,link,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,lat_lon,num_replicons,ref_biomaterial,isolation_source,collected_by,host_disease,isolate,depth,elev,derived-from,eLMSG_genome_id,eLMSG_link,metagenomic,environmental-sample,metagenome-source,passage_history,host_tissue_sampled,ENA first public,ENA last update,ENA-CHECKLIST,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,collection date,common name,geographic location (country and/or sea),geographic location (region and locality),host health state,host scientific name,host_clinical_signs,isolation source,sample name,assembly quality,assembly software,binning parameters,binning software,broker name,completeness score,completeness software,contamination score,environment (biome),environment (feature),environment (material),geographic location (latitude),geographic location (longitude),investigation type,metagenomic source,project name,sample derived from,sequencing method,taxonomic identity marker,biomaterial_provider,isolate_name_alias,SHEN,isolation-source,country,host_age,culture-collection,note,clone,type-material,collection-date,nat-host,region,pair,kk_code,tissue,source,PCR_DDGE,clade
GCA_018594435,10161211,GCF_018594435.1,SAMN11487528,11487528,South Dakota State University,GCA_018594435.1,BB-11,bison,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/435/GCA_018594435.1_ASM1859443v1/GCA_018594435.1_ASM1859443v1.fna.gz,,,,,not collected,,,lung 52,South Dakota State University,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594425,10161201,GCF_018594425.1,SAMN11487527,11487527,South Dakota State University,GCA_018594425.1,BB-10,bison,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/425/GCA_018594425.1_ASM1859442v1/GCA_018594425.1_ASM1859442v1.fna.gz,,,,,not collected,,,unknown,South Dakota State University,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594415,10161191,GCF_018594415.1,SAMN11487529,11487529,South Dakota State University,GCA_018594415.1,BB-12,bison,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/415/GCA_018594415.1_ASM1859441v1/GCA_018594415.1_ASM1859441v1.fna.gz,,,,,not collected,,,pool lung 53,South Dakota State University,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594395,10161181,GCF_018594395.1,SAMN11487530,11487530,South Dakota State University,GCA_018594395.1,BB-13,bison,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/395/GCA_018594395.1_ASM1859439v1/GCA_018594395.1_ASM1859439v1.fna.gz,,,,,not collected,,,unknown,South Dakota State University,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594375,10161171,GCF_018594375.1,SAMN11487531,11487531,South Dakota State University,GCA_018594375.1,BB-14,bison,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/375/GCA_018594375.1_ASM1859437v1/GCA_018594375.1_ASM1859437v1.fna.gz,,,,,not collected,,,unknown,South Dakota State University,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594355,10161161,GCF_018594355.1,SAMN11487532,11487532,South Dakota State University,GCA_018594355.1,BB-15,bison,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/355/GCA_018594355.1_ASM1859435v1/GCA_018594355.1_ASM1859435v1.fna.gz,,,,,not collected,,,unknown,South Dakota State University,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594335,10161151,GCF_018594335.1,SAMN11487533,11487533,South Dakota State University,GCA_018594335.1,BB-16,bison,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/335/GCA_018594335.1_ASM1859433v1/GCA_018594335.1_ASM1859433v1.fna.gz,,,,,not collected,,,Joint fluid,South Dakota State University,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594315,10161141,GCF_018594315.1,SAMN11487534,11487534,South Dakota State University,GCA_018594315.1,BB-17,bison,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/315/GCA_018594315.1_ASM1859431v1/GCA_018594315.1_ASM1859431v1.fna.gz,,,,,not collected,,,Leg,South Dakota State University,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594295,10161131,GCF_018594295.1,SAMN11487536,11487536,South Dakota State University,GCA_018594295.1,BT-1,bovine,2019,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/295/GCA_018594295.1_ASM1859429v1/GCA_018594295.1_ASM1859429v1.fna.gz,,,,,not collected,,,lung,South Dakota State University,bronchointerstitial pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594275,10161121,GCF_018594275.1,SAMN11487535,11487535,South Dakota State University,GCA_018594275.1,BB-18,bison,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/275/GCA_018594275.1_ASM1859427v1/GCA_018594275.1_ASM1859427v1.fna.gz,,,,,not collected,,,unknown,South Dakota State University,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594255,10161111,GCF_018594255.1,SAMN11487537,11487537,South Dakota State University,GCA_018594255.1,CG1-1290,bovine,2016,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/255/GCA_018594255.1_ASM1859425v1/GCA_018594255.1_ASM1859425v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594235,10161101,GCF_018594235.1,SAMN11487538,11487538,South Dakota State University,GCA_018594235.1,CG1-1291,bovine,2016,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/235/GCA_018594235.1_ASM1859423v1/GCA_018594235.1_ASM1859423v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594215,10161091,GCF_018594215.1,SAMN11487539,11487539,South Dakota State University,GCA_018594215.1,CG1-1367,bovine,2016,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/215/GCA_018594215.1_ASM1859421v1/GCA_018594215.1_ASM1859421v1.fna.gz,,,,,not collected,,,lung tissue,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594185,10161081,GCF_018594185.1,SAMN11487542,11487542,South Dakota State University,GCA_018594185.1,CG1-1535,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/185/GCA_018594185.1_ASM1859418v1/GCA_018594185.1_ASM1859418v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594175,10161071,GCF_018594175.1,SAMN11487540,11487540,South Dakota State University,GCA_018594175.1,CG1-1517,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/175/GCA_018594175.1_ASM1859417v1/GCA_018594175.1_ASM1859417v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594155,10161061,GCF_018594155.1,SAMN11487541,11487541,South Dakota State University,GCA_018594155.1,CG1-1532,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/155/GCA_018594155.1_ASM1859415v1/GCA_018594155.1_ASM1859415v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594125,10161051,GCF_018594125.1,SAMN11487543,11487543,South Dakota State University,GCA_018594125.1,CG1-1544,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/125/GCA_018594125.1_ASM1859412v1/GCA_018594125.1_ASM1859412v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594105,10161041,GCF_018594105.1,SAMN11487544,11487544,South Dakota State University,GCA_018594105.1,CG1-1548,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/105/GCA_018594105.1_ASM1859410v1/GCA_018594105.1_ASM1859410v1.fna.gz,,,,,not collected,,,lung tissue,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594095,10161031,GCF_018594095.1,SAMN11487546,11487546,South Dakota State University,GCA_018594095.1,CG1-1557,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/095/GCA_018594095.1_ASM1859409v1/GCA_018594095.1_ASM1859409v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594075,10161021,GCF_018594075.1,SAMN11487545,11487545,South Dakota State University,GCA_018594075.1,CG1-1553,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/075/GCA_018594075.1_ASM1859407v1/GCA_018594075.1_ASM1859407v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594025,10161011,GCF_018594025.1,SAMN11487548,11487548,South Dakota State University,GCA_018594025.1,CG1-1564,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/025/GCA_018594025.1_ASM1859402v1/GCA_018594025.1_ASM1859402v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594035,10161001,GCF_018594035.1,SAMN11487547,11487547,South Dakota State University,GCA_018594035.1,CG1-1561,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/035/GCA_018594035.1_ASM1859403v1/GCA_018594035.1_ASM1859403v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018594015,10160991,GCF_018594015.1,SAMN11487549,11487549,South Dakota State University,GCA_018594015.1,CG1-1565,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/594/015/GCA_018594015.1_ASM1859401v1/GCA_018594015.1_ASM1859401v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593995,10160981,GCF_018593995.1,SAMN11487550,11487550,South Dakota State University,GCA_018593995.1,CG1-1575,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/995/GCA_018593995.1_ASM1859399v1/GCA_018593995.1_ASM1859399v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593965,10160971,GCF_018593965.1,SAMN11487553,11487553,South Dakota State University,GCA_018593965.1,CG1-1601,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/965/GCA_018593965.1_ASM1859396v1/GCA_018593965.1_ASM1859396v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593955,10160961,GCF_018593955.1,SAMN11487554,11487554,South Dakota State University,GCA_018593955.1,CG1-1606,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/955/GCA_018593955.1_ASM1859395v1/GCA_018593955.1_ASM1859395v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593935,10160951,GCF_018593935.1,SAMN11487552,11487552,South Dakota State University,GCA_018593935.1,CG1-1597,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/935/GCA_018593935.1_ASM1859393v1/GCA_018593935.1_ASM1859393v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593915,10160941,GCF_018593915.1,SAMN11487555,11487555,South Dakota State University,GCA_018593915.1,CG1-1638,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/915/GCA_018593915.1_ASM1859391v1/GCA_018593915.1_ASM1859391v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593895,10160931,GCF_018593895.1,SAMN11487557,11487557,South Dakota State University,GCA_018593895.1,CG1-1667,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/895/GCA_018593895.1_ASM1859389v1/GCA_018593895.1_ASM1859389v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593865,10160921,GCF_018593865.1,SAMN11487558,11487558,South Dakota State University,GCA_018593865.1,CG1-1749,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/865/GCA_018593865.1_ASM1859386v1/GCA_018593865.1_ASM1859386v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593855,10160911,GCF_018593855.1,SAMN11487559,11487559,South Dakota State University,GCA_018593855.1,CG1-1750,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/855/GCA_018593855.1_ASM1859385v1/GCA_018593855.1_ASM1859385v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593835,10160901,GCF_018593835.1,SAMN11487560,11487560,South Dakota State University,GCA_018593835.1,CG1-1751,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/835/GCA_018593835.1_ASM1859383v1/GCA_018593835.1_ASM1859383v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593815,10160891,GCF_018593815.1,SAMN11487556,11487556,South Dakota State University,GCA_018593815.1,CG1-1645,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/815/GCA_018593815.1_ASM1859381v1/GCA_018593815.1_ASM1859381v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593755,10160881,GCF_018593755.1,SAMN11487563,11487563,South Dakota State University,GCA_018593755.1,CG1-1824,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/755/GCA_018593755.1_ASM1859375v1/GCA_018593755.1_ASM1859375v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593765,10160871,GCF_018593765.1,SAMN11487561,11487561,South Dakota State University,GCA_018593765.1,CG1-1757,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/765/GCA_018593765.1_ASM1859376v1/GCA_018593765.1_ASM1859376v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593745,10160861,GCF_018593745.1,SAMN11487562,11487562,South Dakota State University,GCA_018593745.1,CG1-1769,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/745/GCA_018593745.1_ASM1859374v1/GCA_018593745.1_ASM1859374v1.fna.gz,,,,,not collected,,,lung tissue,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593735,10160851,GCF_018593735.1,SAMN11487564,11487564,South Dakota State University,GCA_018593735.1,CG1-1825,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/735/GCA_018593735.1_ASM1859373v1/GCA_018593735.1_ASM1859373v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593715,10160841,GCF_018593715.1,SAMN11487565,11487565,South Dakota State University,GCA_018593715.1,CG1-1826,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/715/GCA_018593715.1_ASM1859371v1/GCA_018593715.1_ASM1859371v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593685,10160831,GCF_018593685.1,SAMN11487593,11487593,South Dakota State University,GCA_018593685.1,NADC13,bison,2011,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/685/GCA_018593685.1_ASM1859368v1/GCA_018593685.1_ASM1859368v1.fna.gz,,,,,not collected,,,lung,Karen Register,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593675,10160821,GCF_018593675.1,SAMN11487566,11487566,South Dakota State University,GCA_018593675.1,CG1-1831,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/675/GCA_018593675.1_ASM1859367v1/GCA_018593675.1_ASM1859367v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593635,10160811,GCF_018593635.1,SAMN11487567,11487567,South Dakota State University,GCA_018593635.1,CG1-1845,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/635/GCA_018593635.1_ASM1859363v1/GCA_018593635.1_ASM1859363v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593625,10160801,GCF_018593625.1,SAMN11487595,11487595,South Dakota State University,GCA_018593625.1,NADC15,bison,2007,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/625/GCA_018593625.1_ASM1859362v1/GCA_018593625.1_ASM1859362v1.fna.gz,,,,,not collected,,,lung,Karen Register,pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593615,10160791,GCF_018593615.1,SAMN11487568,11487568,South Dakota State University,GCA_018593615.1,CG1-1856,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/615/GCA_018593615.1_ASM1859361v1/GCA_018593615.1_ASM1859361v1.fna.gz,,,,,not collected,,,lung tissue,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593595,10160781,GCF_018593595.1,SAMN11487569,11487569,South Dakota State University,GCA_018593595.1,CG1-1868,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/595/GCA_018593595.1_ASM1859359v1/GCA_018593595.1_ASM1859359v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593575,10160771,GCF_018593575.1,SAMN11487571,11487571,South Dakota State University,GCA_018593575.1,CG1-1907,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/575/GCA_018593575.1_ASM1859357v1/GCA_018593575.1_ASM1859357v1.fna.gz,,,,,not collected,,,lung tissue,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593555,10160761,GCF_018593555.1,SAMN11487570,11487570,South Dakota State University,GCA_018593555.1,CG1-1893,bovine,2017,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/555/GCA_018593555.1_ASM1859355v1/GCA_018593555.1_ASM1859355v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593535,10160751,GCF_018593535.1,SAMN11487572,11487572,South Dakota State University,GCA_018593535.1,CG1-2007,bovine,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/535/GCA_018593535.1_ASM1859353v1/GCA_018593535.1_ASM1859353v1.fna.gz,,,,,not collected,,,lung tissue,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593515,10160741,GCF_018593515.1,SAMN11487574,11487574,South Dakota State University,GCA_018593515.1,CG1-2009,bovine,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/515/GCA_018593515.1_ASM1859351v1/GCA_018593515.1_ASM1859351v1.fna.gz,,,,,not collected,,,tracheal wash,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593495,10160731,GCF_018593495.1,SAMN11487573,11487573,South Dakota State University,GCA_018593495.1,CG1-2008,bovine,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/495/GCA_018593495.1_ASM1859349v1/GCA_018593495.1_ASM1859349v1.fna.gz,,,,,not collected,,,lung tissue,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593475,10160721,GCF_018593475.1,SAMN11487598,11487598,South Dakota State University,GCA_018593475.1,NADC2,bison,2011,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/475/GCA_018593475.1_ASM1859347v1/GCA_018593475.1_ASM1859347v1.fna.gz,,,,,not collected,,,lung,Karen Register,pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593455,10160711,GCF_018593455.1,SAMN11487575,11487575,South Dakota State University,GCA_018593455.1,CG1-2029,bovine,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/455/GCA_018593455.1_ASM1859345v1/GCA_018593455.1_ASM1859345v1.fna.gz,,,,,not collected,,,milk,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
GCA_018593435,10160701,GCF_018593435.1,SAMN11487576,11487576,South Dakota State University,GCA_018593435.1,CG1-2045,bovine,2018,USA,Whole organism,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/593/435/GCA_018593435.1_ASM1859343v1/GCA_018593435.1_ASM1859343v1.fna.gz,,,,,not collected,,,tracheal wash,Paolo Moroni,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,USA,,,,,,
